,GSM3690866_G13_htseq,GSM3690863_G10_htseq,GSM3690855_G05_htseq,GSM3690867_G14_htseq,GSM3690857_G07_htseq,GSM3690868_G09_htseq,GSM3690864_G11_htseq,GSM3690852_G03_htseq,GSM3690851_G01_htseq,GSM3690865_G12_htseq,GSM3690858_G04_htseq,GSM3690856_G06_htseq
Nudt16l1,329,482,4,7,73,458,658,108,303,202,6,385
Nudt17,0,163,2,0,0,0,0,0,0,139,0,0
Nudt18,116,218,0,0,130,0,688,165,2,1,0,6
Nudt19,286,466,1,2507,4,318,1004,13,0,269,226,356
Nudt2,55,6,0,0,0,72,349,0,0,129,116,136
Nudt21,320,185,0,0,207,2,461,42,20,114,1,2
Nudt22,0,0,0,2,0,0,11,0,0,0,0,0
Nudt3,3666,2483,262,2359,2585,629,4662,433,2914,1599,1063,1634
Nudt4,161,39,16,1,160,17,506,8,7,91,0,197
Nudt5,41,37,0,0,0,3,287,128,15,8,0,44
Nudt6,110,20,0,1,0,0,0,0,0,3,0,114
Nudt7,16,0,0,0,1,0,0,0,0,0,0,0
Nudt8,150,65,0,0,0,0,92,0,25,10,67,145
Nudt9,173,132,16,0,3,118,188,0,70,33,1,145
Nuf2,130,160,42,17,73,72,76,51,102,214,230,275
Nufip1,228,365,0,0,0,115,516,204,260,354,4,739
Nufip2,1439,952,227,1025,91,330,1466,296,40,2625,1608,1111
Nuggc,0,0,0,0,0,0,0,0,0,0,0,0
Numa1,502,1498,21,14,194,636,623,20,106,90,628,648
Numb,4,147,0,0,0,181,264,59,0,359,426,209
Numbl,163,527,83,82,336,72,317,58,242,300,188,151
Nup107,47,0,0,0,0,137,27,0,0,17,0,5
Nup133,151,257,24,3,16,80,223,10,206,317,119,304
Nup153,55,121,7,236,59,49,505,91,1,21,36,707
Nup155,258,153,0,1,0,284,399,29,0,132,101,1
Nup160,224,75,0,0,0,0,125,17,1,208,40,627
Nup188,81,143,0,0,0,310,111,6,90,445,0,25
Nup205,41,213,0,0,44,47,569,1,11,355,0,672
Nup210,175,128,0,1,0,2,238,0,42,45,842,0
Nup210l,0,0,4,0,0,0,0,0,0,0,0,109
Nup214,1080,621,214,5,90,18,562,114,731,531,867,881
Nup35,360,400,0,0,5,0,163,3,20,320,0,83
Nup37,50,81,0,0,0,11,118,0,0,64,0,83
Nup43,0,55,0,0,0,104,121,0,407,0,0,94
Nup50,548,503,0,94,0,467,822,24,530,14,362,139
Nup54,407,1,0,0,2,194,74,3,165,395,0,66
Nup62,188,745,0,0,1,222,429,70,600,538,181,0
Nup62-il4i1,0,11,0,0,0,0,0,0,0,1,0,0
Nup62cl,0,0,0,0,0,0,0,0,0,0,0,0
Nup85,604,373,69,505,0,306,1402,25,494,247,479,139
Nup88,1199,1407,0,8,1036,123,1644,233,280,496,856,374
Nup93,223,203,0,2,2,496,1169,186,463,248,2,1134
Nup98,122,346,0,2,0,174,77,83,86,36,1,52
Nupl1,463,371,25,32,4,246,405,39,227,154,74,385
Nupl2,52,12,0,0,0,2,174,0,0,13,3,0
Nupr1,0,0,0,0,0,0,41,0,0,0,0,83
Nupr1l,0,0,0,0,0,0,40,0,0,0,0,0
Nus1,228,81,81,283,21,91,244,54,56,155,21,20
Nusap1,0,27,0,3,0,0,4,0,0,5,47,34
Nutf2,186,6,0,3,0,46,377,8,0,0,443,59
Nutf2-ps1,0,0,0,0,0,0,0,0,0,0,0,0
Nvl,1095,740,71,159,41,547,520,89,58,968,436,1784
Nwd1,4,16,4,1,3,1,89,48,9,28,6,30
Nxf1,1644,2810,20,23,1589,689,782,222,113,1468,1611,1549
Nxf2,0,0,0,0,0,0,0,0,0,0,0,0
Nxf3,0,0,0,0,0,0,0,0,0,0,0,0
Nxf7,0,0,0,0,0,0,0,0,0,0,0,0
Nxn,0,127,0,0,17,0,0,0,0,0,0,0
Nxnl1,0,0,0,0,0,0,0,0,1,0,0,0
Nxnl2,0,0,0,0,0,0,0,0,0,0,0,0
Nxpe2,29,0,0,0,0,101,14,0,0,0,1,0
Nxpe3,0,28,0,0,153,0,5,19,39,15,0,0
Nxpe4,0,5,0,2,0,0,32,6,0,13,0,0
Nxpe5,0,0,0,0,0,0,0,0,0,0,0,0
Nxph1,0,1,0,1,0,0,1,0,0,2,0,0
Nxph2,0,2,0,0,0,0,0,0,0,0,0,0
Nxph3,0,0,3,1,1,0,0,0,3,0,1,0
Nxph4,0,0,0,0,0,0,0,0,0,0,0,0
Nxt1,87,14,0,0,0,81,387,53,9,77,0,0
Nxt2,225,137,0,1,1178,190,218,0,0,219,0,0
Nyap1,25,53,0,2,0,0,52,0,10,34,0,67
Nyap2,335,49,0,0,2,90,97,0,0,133,1,1065
Nynrin,0,0,0,0,0,0,0,0,0,0,0,0
Nyx,1,10,2,0,1,9,42,3,0,5,0,15
ORF63,0,0,0,0,0,0,0,0,0,0,0,0
OTTMUSG00000016609,0,0,0,0,0,0,0,0,0,0,0,0
Oacyl,2,0,0,0,1,1,1,1,3,1,1,4
Oaf,0,24,3,0,0,0,0,1,0,0,0,0
Oard1,9,0,0,1,1,31,0,0,0,97,23,0
Oas1a,0,0,0,0,0,0,0,0,0,0,0,0
Oas1b,1,1,0,0,1,0,96,0,9,2,2,1
Oas1c,0,0,0,0,0,0,0,0,0,0,0,0
Oas1d,0,0,0,0,0,0,0,0,0,0,0,0
Oas1e,0,0,0,0,22,0,0,0,0,0,0,0
Oas1f,0,0,0,0,0,0,0,0,0,0,0,0
Oas1g,0,0,0,0,0,0,0,0,0,0,0,0
Oas1h,0,0,0,0,0,0,0,0,0,0,0,0
Oas2,0,0,0,0,0,0,0,0,0,0,0,0
Oas3,50,56,5,13,5,25,14,40,8,47,57,86
Oasl1,0,0,0,0,0,0,0,0,0,0,0,0
Oasl2,0,0,0,0,73,0,0,0,0,0,0,8
Oat,1101,203,0,30,229,12,619,1,0,182,0,276
Oaz1,61,11,76,23,59,26,60,25,131,32,16,7
Oaz1-ps,0,0,0,0,0,0,0,0,0,0,0,0
Oaz2,2163,2115,36,255,1149,137,4077,548,2081,1426,1548,1805
Oaz3,19,77,0,0,0,2,4,31,0,0,36,0
Obfc1,154,253,5,6,6,145,401,10,285,330,138,195
Obox1,0,0,0,0,0,0,0,0,0,0,0,0
Obox2,0,0,0,0,0,0,0,0,0,0,0,0
Obox3,10,29,1,7,6,2,9,7,0,5,9,33
Obox5,0,0,0,0,0,0,0,0,0,0,0,0
Obox6,0,0,0,0,0,0,0,0,0,1,0,0
Obp1a,0,0,0,0,0,0,0,0,0,0,0,0
Obp2a,0,0,0,0,0,0,0,0,0,0,0,0
Obp2b,0,0,0,0,0,0,0,0,0,0,0,0
Obscn,15,0,0,0,0,0,9,0,0,0,0,0
Obsl1,131,639,13,0,0,6,266,0,6,44,0,1
Oc90,0,0,0,0,0,0,0,0,0,0,0,20
Oca2,0,0,0,0,0,14,0,4,2,3,0,0
Ocel1,0,26,0,0,0,0,28,4,0,36,0,6
Ociad1,2900,2314,24,777,110,1020,7066,310,1318,1163,634,1465
Ociad2,70,240,30,49,230,37,315,17,170,182,329,279
Ocln,315,82,111,6,0,1,5,1,21,0,0,1
Ocm,0,0,0,0,0,0,0,0,0,0,0,1
Ocrl,341,449,1,0,13,176,1117,392,904,43,355,152
Ocstamp,0,0,0,0,0,0,0,0,0,0,0,0
Odam,0,0,0,0,0,0,0,0,0,0,0,0
Odc1,695,635,10,371,2474,432,1716,487,505,303,241,536
Odf1,0,0,0,0,0,0,0,0,0,0,0,0
Odf2,1329,955,17,424,0,480,1389,47,334,737,548,2437
Odf2l,8,201,0,459,0,4,4,5,86,6,0,339
Odf3,0,0,0,0,0,0,0,0,0,0,0,0
Odf3b,0,0,0,0,0,0,0,0,0,0,0,0
Odf3l1,0,0,0,0,0,0,0,0,0,0,0,0
Odf3l2,0,11,0,0,0,0,0,0,0,0,0,0
Odf4,0,0,0,0,0,0,0,0,0,0,0,0
Ofcc1,0,0,0,0,0,0,0,0,0,0,0,0
Ofd1,14,14,0,2,22,4,4,12,0,10,0,0
Ogdh,2210,1611,615,663,750,509,3619,510,1983,2831,2172,2793
Ogdhl,180,242,0,559,0,291,154,0,258,619,1606,377
Ogfod1,260,434,19,306,213,58,384,65,42,63,0,724
Ogfod2,299,293,3,0,0,218,176,0,399,281,237,449
Ogfod3,93,67,0,5,0,0,0,0,0,15,0,0
Ogfr,225,463,4,0,9,380,891,102,964,15,227,20
Ogfrl1,328,256,119,491,112,125,557,31,629,323,617,365
Ogg1,62,0,0,0,0,0,87,13,0,0,468,114
Ogn,0,57,1,0,0,0,0,4,1,0,0,4
Ogt,3031,3212,69,1329,388,1988,3082,287,1148,3402,1907,9860
Oip5,97,76,13,6,0,5,140,0,0,8,194,81
Oit1,0,0,0,0,0,0,0,0,0,0,0,0
Oit3,0,0,0,0,0,0,0,0,0,0,0,0
Ola1,1714,1093,326,517,1034,157,2001,198,148,445,264,179
Olah,0,0,0,0,0,0,0,0,0,0,0,0
Olfm1,7922,5484,796,1358,5131,1678,11352,742,4938,2446,3182,3676
Olfm2,9,27,0,0,0,2,182,0,0,1,0,0
Olfm3,254,23,0,1,0,0,33,0,2,0,22,37
Olfm4,394,18,0,0,0,174,501,0,0,258,95,0
Olfml1,0,0,0,0,1,0,0,2,0,0,0,0
Olfml2a,0,0,0,0,0,0,0,0,0,0,0,0
Olfml2b,247,33,0,0,0,0,287,0,30,0,2,0
Olfml3,0,178,0,0,971,488,120,0,18,0,0,28
Olfr1,0,0,0,0,0,0,0,0,0,0,0,0
Olfr10,0,0,0,0,0,0,0,0,0,0,0,0
Olfr100,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1000,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1002,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1006,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1008,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1009,0,0,0,0,0,0,0,0,0,0,0,0
Olfr101,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1010,0,1,0,0,1,0,0,0,0,0,0,0
Olfr1012,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1013,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1014,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1015,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1016,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1018,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1019,0,0,0,0,0,0,0,0,0,0,0,0
Olfr102,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1020,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1022,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1023,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1024,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1026,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1028,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1029,0,0,0,0,0,0,0,0,0,10,0,0
Olfr103,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1030,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1031,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1032,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1033,12,5,0,0,0,5,5,3,3,4,1,5
Olfr1034,1,0,0,0,0,0,0,0,0,0,0,0
Olfr1036,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1037,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1038-ps,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1039,0,0,0,0,0,0,0,1,0,0,0,0
Olfr1040,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1042,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1043,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1044,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1045,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1046,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1047,1,0,0,0,0,83,2,0,0,0,0,0
Olfr1048,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1049,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1051,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1052,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1053,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1054,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1055,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1056,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1057,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1058,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1061,0,0,0,0,63,0,0,0,0,0,0,0
Olfr1062,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1065,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1066,0,0,0,0,0,0,0,0,0,0,0,0
Olfr107,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1076,0,0,0,0,0,0,0,0,1,0,0,0
Olfr1077-ps1,0,0,0,17,0,0,0,0,0,0,0,0
Olfr1079,0,0,0,0,0,0,0,0,0,0,0,0
Olfr108,0,0,0,0,0,21,0,0,0,0,0,0
Olfr1080,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1082,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1084,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1085,0,0,0,0,0,0,1,1,0,0,0,71
Olfr1086,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1087,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1089,0,0,0,0,0,0,0,0,0,0,0,68
Olfr109,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1090,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1093,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1094,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1095,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1097,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1098,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1099,0,0,0,0,0,0,0,0,0,0,0,0
Olfr11,0,0,0,0,0,0,0,0,0,0,0,0
Olfr110,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1100,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1101,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1102,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1104,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1105,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1106,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1107,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1109,0,0,0,0,0,0,0,0,0,0,0,0
Olfr111,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1110,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1111,0,4,0,0,0,0,0,0,0,0,0,0
Olfr1112,0,0,0,0,0,0,0,0,0,0,6,0
Olfr1113,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1115,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1116-ps,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1118,0,0,0,0,0,0,0,0,0,0,0,0
Olfr112,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1120,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1121,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1122,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1123,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1124,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1126,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1128,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1129,14,0,0,0,0,0,7,0,0,0,0,0
Olfr113,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1130,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1131,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1132,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1133,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1134,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1135,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1136,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1137,0,0,0,0,0,0,0,1,0,0,0,0
Olfr1138,0,0,0,0,212,0,0,0,0,81,0,0
Olfr114,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1140,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1141,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1143,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1145,0,0,0,0,0,0,0,0,1,0,0,0
Olfr1148,0,0,0,0,7,0,0,0,0,0,0,0
Olfr115,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1151,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1152,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1153,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1154,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1155,0,0,0,0,0,0,0,0,0,4,0,0
Olfr1156,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1157,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1158,0,0,0,0,0,0,0,0,0,0,0,0
Olfr116,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1160,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1161,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1162,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1163,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1164,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1166,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1167,0,0,0,0,0,0,0,0,0,0,0,1
Olfr1168,0,0,0,0,0,0,0,0,0,0,0,0
Olfr117,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1170,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1173,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1176,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1178,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1179,0,0,0,0,0,0,0,0,0,0,0,0
Olfr118,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1180,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1181,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1182,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1183,0,0,0,0,0,0,0,0,0,1,0,2
Olfr1184,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1186,0,0,0,0,0,0,0,0,0,0,0,6
Olfr1188,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1189,0,0,0,0,0,0,0,0,0,0,0,0
Olfr119,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1193,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1195,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1196,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1197,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1198,0,0,0,0,0,0,0,0,0,0,0,107
Olfr1199,0,0,0,0,0,0,0,0,0,0,0,0
Olfr12,0,0,0,0,0,0,0,0,0,0,0,0
Olfr120,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1200,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1201,0,0,0,0,0,0,0,0,0,1,0,0
Olfr1202,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1204,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1205,0,0,0,0,0,1,0,0,0,0,0,0
Olfr1206,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1208,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1209,0,0,0,0,0,0,0,0,0,0,0,0
Olfr121,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1211,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1212,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1213,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1214,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1215,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1216,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1217,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1218,0,0,0,0,0,0,0,0,0,0,0,4
Olfr1219,0,0,0,0,0,0,0,0,0,0,0,0
Olfr122,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1220,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1221,0,0,0,1,0,0,0,0,0,0,0,0
Olfr1222,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1223,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1225,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1226,24,0,0,0,0,0,0,0,0,0,0,0
Olfr1228,0,0,0,0,0,0,1,0,0,0,0,0
Olfr1229,0,0,0,0,0,0,0,0,0,0,0,0
Olfr123,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1230,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1231,0,0,0,0,0,0,0,1,0,0,0,4
Olfr1232,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1233,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1234,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1238,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1239,0,0,0,0,0,0,0,0,0,1,0,0
Olfr124,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1240,0,0,0,0,0,0,0,0,0,0,0,103
Olfr1241,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1242,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1243,0,0,0,0,0,0,0,0,0,1,0,0
Olfr1245,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1246,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1247,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1248,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1249,0,0,0,0,0,0,0,0,0,0,0,0
Olfr125,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1250,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1251,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1252,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1253,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1254,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1255,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1256,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1257,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1258,0,0,2,0,0,0,0,0,0,0,0,0
Olfr1259,0,0,0,0,0,0,0,0,0,0,0,0
Olfr126,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1260,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1261,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1262,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1263,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1264,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1265,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1269,0,0,0,0,0,0,0,0,0,0,0,0
Olfr127,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1270,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1271,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1272,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1273-ps,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1274-ps,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1275,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1276,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1277,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1278,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1279,0,0,0,0,0,0,0,0,0,0,0,0
Olfr128,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1280,0,0,0,0,0,0,0,0,0,0,0,1
Olfr1281,0,0,0,3,13,0,0,0,0,0,0,0
Olfr1282,0,0,0,0,2,0,0,0,0,0,0,0
Olfr1283,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1284,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1286,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1287,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1288,1,0,0,0,0,0,0,0,0,0,0,0
Olfr1289,0,0,0,0,0,0,0,0,0,0,0,0
Olfr129,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1290,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1294,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1295,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1297,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1298,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1299,0,0,0,0,0,0,0,0,0,0,38,0
Olfr13,0,0,0,0,0,0,0,0,0,0,0,0
Olfr130,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1300-ps1,4,0,0,0,0,0,0,0,0,0,0,0
Olfr1301,0,0,0,0,0,0,8,0,0,0,0,0
Olfr1302,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1303,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1305,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1306,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1307,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1308,0,0,0,0,0,0,0,0,0,0,0,11
Olfr1309,0,0,0,0,0,0,0,0,0,0,0,0
Olfr131,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1310,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1311,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1312,3,0,0,0,0,0,0,0,31,0,0,0
Olfr1313,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1314,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1316,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1317,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1318,0,0,0,0,0,0,0,0,0,0,0,0
Olfr132,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1320,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1321,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1322,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1323,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1324,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1325,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1328,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1329,0,0,0,0,0,0,0,0,0,0,0,0
Olfr133,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1330,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1331,0,0,0,0,0,0,0,0,0,0,0,20
Olfr1333,0,0,0,0,25,0,0,0,0,0,0,0
Olfr1335,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1336,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1337,0,0,0,0,0,0,0,0,0,0,0,1
Olfr1338,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1339,0,0,0,0,0,0,0,0,0,0,0,0
Olfr134,0,0,0,0,0,0,0,0,0,0,3,0
Olfr1340,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1341,0,0,0,0,0,0,0,0,108,0,0,0
Olfr1342,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1344,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1346,0,0,0,0,0,0,0,0,0,0,0,0
Olfr1347,0,0,0,0,0,0,0,0,0,0,0,0
