,GSM3690854_NG03_htseq,GSM3690874_NG09_htseq,GSM3690872_NG13_htseq,GSM3690862_NG04_htseq,GSM3690870_NG11_htseq,GSM3690873_NG14_htseq,GSM3690871_NG12_htseq,GSM3690860_NG06_htseq,GSM3690853_NG01_htseq,GSM3690861_NG07_htseq,GSM3690859_NG05_htseq,GSM3690869_NG10_htseq
Asb5,1,0,0,0,0,0,0,0,16,0,0,0
Asb6,72,0,212,0,551,0,0,3,449,401,0,2
Asb7,74,297,145,322,644,155,18,145,154,256,199,59
Asb8,85,132,147,1797,2098,784,10,567,236,967,1636,1519
Asb9,0,0,0,0,0,0,0,0,0,0,0,0
Ascc1,99,320,277,451,393,1193,1,11,163,235,0,352
Ascc2,9,797,742,1,254,450,1006,352,20,0,78,262
Ascc3,17,237,470,2266,294,466,400,406,77,23,192,157
Ascl1,0,0,15,323,155,121,0,1,204,75,5,161
Ascl2,0,0,0,0,0,0,0,0,0,0,0,0
Ascl3,0,0,0,0,0,0,0,0,0,0,0,0
Ascl4,2,0,12,170,0,22,0,0,5,2,0,2
Ascl5,0,0,12,0,0,0,0,0,0,0,0,0
Asf1a,0,1,87,0,187,108,1,239,518,270,1,189
Asf1b,0,0,0,0,0,72,2,0,0,0,0,0
Asgr1,0,0,0,0,0,0,0,0,0,0,0,0
Asgr2,0,0,0,0,0,0,0,0,0,0,0,0
Ash1l,1175,4590,2446,4777,3402,3134,161,2220,2240,1334,1163,2147
Ash2l,104,496,25,536,0,165,2,257,66,120,0,240
Asic1,9,0,241,2,0,119,102,90,3,147,2,232
Asic2,309,23,555,535,148,883,839,29,837,375,453,55
Asic3,22,0,0,0,0,0,47,86,0,0,0,0
Asic4,0,825,46,0,9,234,0,0,19,6,17,0
Asic5,0,0,0,0,0,0,0,0,0,0,0,0
Asl,124,0,1,0,233,0,0,0,143,717,1,211
Asmt,0,0,0,0,0,0,0,0,0,0,0,0
Asna1,29,12,487,15,463,387,10,386,336,1799,639,918
Asns,28,0,464,1,1601,656,815,281,324,2865,70,1961
Asnsd1,11,96,18,37,81,124,46,94,0,409,178,448
Aspa,0,0,0,0,0,0,0,0,2,0,0,0
Aspdh,0,0,40,37,0,0,0,0,0,0,0,0
Aspg,0,0,0,0,0,0,0,0,0,0,0,0
Asph,171,4036,443,486,2470,436,43,107,910,3000,319,2619
Asphd1,14,139,7,209,9,52,0,64,0,29,7,188
Asphd2,956,2006,1404,504,364,1767,964,1212,831,1838,1212,566
Aspm,0,0,0,0,0,0,0,0,0,20,1,0
Aspn,0,0,4,0,3,18,0,2,6,0,0,0
Asprv1,0,0,0,0,0,99,0,0,57,0,0,0
Aspscr1,4,5,78,1,329,74,151,173,164,600,147,2089
Asrgl1,45,357,165,1541,312,126,2,1082,133,548,638,280
Ass1,0,0,0,0,0,0,0,0,0,0,0,0
Aste1,17,0,227,0,108,69,0,22,13,0,1,1
Astl,0,0,0,0,0,0,0,0,0,0,0,0
Astn1,366,714,2288,1488,2718,1707,70,2273,2349,2580,1684,3834
Astn2,2,0,0,2,1,5,0,3,5,0,2,0
Asun,2,0,191,0,449,62,35,496,185,423,1116,398
Asxl1,71,1766,614,178,4,370,0,303,301,384,534,629
Asxl2,307,608,606,202,160,1712,75,654,667,1146,2610,770
Asxl3,3,11,70,489,235,189,1,35,183,4,0,15
Asz1,0,0,0,0,0,0,0,0,0,0,0,0
Atad1,2,188,127,592,1113,891,88,635,741,89,93,965
Atad2,106,62,131,27,5,74,6,145,122,224,0,43
Atad2b,134,121,240,88,106,94,81,178,85,770,35,194
Atad3a,509,0,355,1,1146,386,441,529,382,749,881,1560
Atad5,2,283,296,0,130,83,0,0,236,0,0,265
Atat1,18,300,156,513,385,616,3,200,0,786,591,596
Atcay,92,87,554,433,1334,1928,286,86,236,1090,910,2075
Ate1,158,1309,935,622,1547,615,250,869,845,1773,1872,1860
Atf1,19,16,36,502,198,418,12,27,48,460,118,382
Atf2,230,84,1004,1253,1355,888,22,226,1074,1746,1258,1086
Atf3,0,0,0,1,0,0,1,0,0,40,0,0
Atf4,182,1,640,118,637,572,16,343,140,2533,511,2676
Atf5,7,0,65,0,8,109,165,2,0,215,10,2
Atf6,366,117,831,1062,2541,757,609,192,793,1237,691,916
Atf6b,134,340,609,964,1168,1065,15,728,406,224,2,921
Atf7,71,303,291,570,123,233,126,120,222,260,45,389
Atf7ip,85,5,942,74,2148,595,38,203,442,1314,316,662
Atf7ip2,5,0,0,261,0,0,0,0,0,0,0,0
Atg10,6,21,171,19,3,96,6,2,142,415,2,238
Atg12,163,1284,832,6,1656,913,3,28,137,1813,687,1142
Atg13,211,134,445,890,1504,1865,463,505,181,1975,1367,2105
Atg14,18,0,59,0,922,307,21,0,7,105,592,755
Atg16l1,307,349,777,1695,4293,224,234,1187,1084,289,1499,1896
Atg16l2,26,134,43,0,0,228,25,866,0,0,0,84
Atg2a,28,1,356,0,228,445,0,455,331,274,7,1430
Atg2b,121,110,458,373,330,326,7,141,462,555,4,661
Atg3,0,2,835,169,957,717,68,784,409,2094,892,1504
Atg4a,0,378,2,6,13,1,0,230,20,0,0,7
Atg4b,89,22,704,0,1199,259,233,751,85,1182,2386,1187
Atg4c,76,862,298,177,136,205,31,26,487,340,210,1022
Atg4d,0,3,323,0,380,65,0,639,209,602,1,88
Atg5,143,1563,576,846,517,1008,1,1614,337,1278,1050,507
Atg7,100,869,2,305,351,97,1,8,189,78,1,960
Atg9a,21,0,703,839,1823,629,4,825,65,1583,471,2438
Atg9b,0,0,0,0,0,0,0,0,0,0,0,162
Athl1,0,0,0,0,0,0,11,0,0,250,0,0
Atic,3,0,7,0,272,9,42,0,32,789,0,150
Atl1,170,179,488,299,948,713,6,895,449,1752,376,1116
Atl2,138,4,109,6,266,51,1,20,181,582,239,148
Atl3,37,1,103,0,24,238,11,411,73,68,0,256
Atm,368,20,398,561,9,179,42,1233,263,127,16,368
Atmin,29,6,490,327,602,56,7,9,1,118,6,192
Atn1,99,261,216,26,474,422,46,577,170,1093,508,509
Atoh1,0,0,0,0,0,0,0,0,0,0,0,0
Atoh7,0,0,0,0,0,69,0,73,0,0,174,0
Atoh8,0,0,0,0,0,0,0,0,0,0,0,0
Atox1,105,128,100,217,197,143,0,281,299,744,771,197
Atp10a,0,0,0,0,0,0,0,0,0,0,0,0
Atp10b,13,0,16,0,2,1,0,10,12,3,0,84
Atp10d,181,0,35,0,0,0,0,0,0,0,0,0
Atp11a,27,3,396,47,4,126,3,181,138,471,0,518
Atp11b,132,12,198,468,1020,365,20,521,471,112,273,470
Atp11c,114,1606,55,0,0,401,6,24,16,7,0,488
Atp12a,0,0,0,0,0,0,0,0,0,0,0,39
Atp13a1,138,705,910,18,441,111,1087,939,86,102,0,1033
Atp13a2,784,403,604,250,77,244,9,942,342,1017,699,1296
Atp13a3,175,12,151,206,235,233,30,453,467,343,0,332
Atp13a4,0,1,0,1,0,0,0,1,0,0,4,0
Atp13a5,0,0,0,0,0,0,0,0,0,0,0,0
Atp1a1,285,519,2157,1259,3843,3594,229,916,2118,3608,2776,1141
Atp1a2,362,2287,193,2627,140,113,49,292,1028,1901,54,7
Atp1a3,1019,8522,11542,7199,32294,12472,1171,6469,9401,32082,12557,43548
Atp1a4,0,59,0,0,0,0,0,0,17,0,0,0
Atp1b1,1209,5976,9617,4599,16045,12785,2222,4378,10635,22795,9978,22962
Atp1b2,7,6478,2829,1034,3938,1746,288,623,3166,2806,2812,2435
Atp1b3,54,989,237,2,486,220,70,383,599,782,355,737
Atp1b4,0,0,0,0,0,0,0,9,0,0,0,0
Atp2a1,0,0,0,10,0,14,0,0,0,0,0,0
Atp2a2,466,1200,2014,615,1630,3142,306,1851,3007,6033,1541,4037
Atp2a3,0,0,0,0,0,0,0,0,0,0,0,0
Atp2b1,5565,8375,9727,7309,10637,12207,3171,9579,8239,12414,10834,7440
Atp2b2,544,4895,3409,3209,5536,3152,2457,2470,4758,7820,4812,3826
Atp2b3,199,2017,958,48,1015,1008,536,549,685,1242,1233,1556
Atp2b4,250,487,1056,717,662,791,63,575,785,952,776,895
Atp2c1,216,1123,1225,598,3243,937,251,400,1067,1578,945,2585
Atp2c2,0,0,0,0,0,0,0,0,0,217,0,0
Atp4a,66,0,0,0,0,0,0,0,0,0,0,0
Atp4b,0,0,0,0,12,0,0,0,0,0,0,0
Atp5a1,620,4412,5524,3142,15690,8218,951,3121,5727,13320,6592,15249
Atp5b,725,6990,9944,17726,18440,13326,747,6261,9248,30699,19729,44790
Atp5c1,485,2169,2159,938,5206,2862,122,2494,2470,8909,3410,6543
Atp5d,585,4344,1600,3728,2373,1558,145,2225,1725,6697,6279,4410
Atp5e,348,1053,293,1750,870,760,146,828,696,2958,2552,471
Atp5f1,96,2423,2116,1815,2868,2380,350,2892,2554,7045,4373,5248
Atp5g1,308,3149,1350,2769,2317,1687,359,2180,2262,9655,5517,3493
Atp5g2,555,670,472,422,1405,830,153,469,1125,4005,1257,679
Atp5g3,476,1901,872,2415,1834,1841,304,1709,1254,5062,3714,3197
Atp5h,175,2189,1593,5226,2944,2040,980,1754,2472,6044,4570,2730
Atp5j,152,2332,1061,4581,2457,1930,476,1876,1764,7198,3596,2126
Atp5j2,150,606,373,1709,803,820,340,1070,945,2731,1750,660
Atp5k,252,1236,181,788,874,655,210,340,734,2036,1393,287
Atp5l,898,3180,717,3699,2247,1449,175,1689,1480,5127,3119,1484
Atp5o,480,2104,1342,2014,2270,1927,313,1951,1818,9226,6428,3069
Atp5s,0,0,39,0,236,190,0,4,123,234,0,124
Atp5sl,62,358,194,1310,591,505,242,29,236,1229,1047,759
Atp6ap1,81,248,1710,1713,2807,4569,316,1217,1575,4407,329,4936
Atp6ap1l,0,0,0,0,0,0,0,89,0,0,0,0
Atp6ap2,314,54,381,23,2048,1250,23,383,1244,4145,402,2895
Atp6v0a1,392,932,2607,2639,2817,3258,2333,2361,2585,1275,1041,4823
Atp6v0a2,26,3,2,523,282,12,2,42,328,0,37,298
Atp6v0a4,0,0,0,0,0,0,0,0,0,0,0,0
Atp6v0b,797,2623,2462,3113,3748,2483,805,1786,2258,5319,1279,3717
Atp6v0c,0,0,0,12,6,0,0,2,1,1,1,2
Atp6v0c-ps2,0,0,0,0,0,0,0,0,0,0,0,0
Atp6v0d1,647,528,1627,475,2133,2010,133,2156,1326,5197,1599,3383
Atp6v0d2,6,0,0,0,0,0,0,0,1,0,0,0
Atp6v0e,129,0,108,244,276,94,42,254,198,834,0,166
Atp6v0e2,659,2108,3949,3196,12044,4619,779,3565,4676,12211,9039,11762
Atp6v1a,1061,7259,5168,6890,14818,12504,885,2587,8598,12049,6029,15053
Atp6v1b1,0,0,0,0,0,0,0,0,0,5,0,0
Atp6v1b2,123,3688,6020,3562,11788,8605,331,4275,4800,12775,4900,15479
Atp6v1c1,529,1029,2103,203,5021,2605,233,860,1222,4423,3609,4900
Atp6v1c2,0,0,83,90,275,53,0,9,193,0,0,328
Atp6v1d,576,2261,2674,2629,8686,3083,540,1788,4493,9032,3852,4672
Atp6v1e1,658,3731,2413,3193,7109,3785,446,1753,2510,10107,4851,6259
Atp6v1e2,0,0,0,0,0,0,0,0,0,0,0,0
Atp6v1f,130,1498,986,1713,1654,1343,15,1988,1089,4996,3230,1879
Atp6v1g1,94,2438,697,1558,1237,1296,89,571,865,2716,3213,2162
Atp6v1g2,430,3745,4099,6625,8491,7263,418,3777,5814,21762,6318,16003
Atp6v1g3,0,0,0,0,0,0,0,0,0,0,0,0
Atp6v1h,258,358,906,5556,1479,1073,71,449,847,4135,2108,2603
Atp7a,12,2,1,6,3,359,118,2,52,73,1,7
Atp7b,79,0,0,0,0,0,0,0,0,0,0,56
Atp8a1,931,2251,2933,1314,4182,3484,811,2858,2889,1798,710,4078
Atp8a2,197,0,269,27,10,189,98,0,81,0,0,1323
Atp8b1,0,0,0,0,0,0,0,0,0,0,0,0
Atp8b2,73,41,96,61,3,77,588,1,63,0,1,223
Atp8b3,0,0,0,0,0,0,0,0,0,0,0,139
Atp8b4,2,1,0,0,0,0,0,1,4,0,0,0
Atp8b5,0,0,0,0,0,0,0,0,0,0,0,0
Atp9a,299,2550,2364,478,1253,2327,497,813,1171,2356,2397,1131
Atp9b,340,1264,688,0,411,555,4,1608,378,692,577,1008
Atpaf1,178,0,202,28,213,1317,7,0,24,750,795,869
Atpaf2,26,104,30,332,329,420,6,570,423,855,441,977
Atpbd4,58,38,172,687,187,493,37,446,124,226,346,591
Atpif1,212,3380,1098,3169,2672,1887,256,1825,2209,6228,5509,1698
Atr,43,0,92,0,570,131,5,344,399,4,0,13
Atraid,11,674,584,24,1059,809,1,425,604,3156,413,1865
Atrip,228,21,93,0,447,166,31,97,77,251,812,145
Atrn,477,95,1632,1288,1344,3007,199,565,2727,3302,588,2621
Atrnl1,29,0,159,5,155,93,331,50,366,43,42,1292
Atrx,1568,4617,3385,2204,3512,4682,2223,3147,3506,5996,3272,3042
Atxn1,142,1809,973,1779,2071,1010,96,870,668,989,397,1568
Atxn10,212,1872,2424,6341,5288,3006,758,1631,4054,9936,3495,7026
Atxn1l,12,29,227,8,44,32,1,83,178,31,0,233
Atxn2,479,253,470,272,150,634,180,568,415,1541,443,837
Atxn2l,113,38,2540,1607,1190,1360,776,2010,335,2323,1432,2328
Atxn3,45,652,133,37,1,251,16,115,402,123,0,35
Atxn7,322,5,135,424,416,130,47,53,353,722,0,126
Atxn7l1,59,340,181,145,737,1139,136,401,471,555,8,694
Atxn7l2,1,0,7,8,353,279,5,752,231,0,0,438
Atxn7l3,424,813,322,1,200,545,199,45,301,322,432,944
Atxn7l3b,903,5148,1965,1851,3286,1948,567,1668,2181,7351,4737,2114
Auh,91,14,796,103,722,805,18,434,503,1588,472,2187
Aup1,401,1003,935,871,992,488,726,828,527,646,412,1127
Aurka,0,0,0,0,0,0,0,0,0,2,0,0
Aurkaip1,90,1398,297,47,1171,624,39,1183,898,865,976,829
Aurkb,0,0,0,0,0,0,0,0,0,0,0,0
Aurkc,0,0,0,0,33,0,0,0,0,334,0,0
Auts2,1290,899,1953,5370,1895,2445,1258,1130,1774,2544,3572,1989
Aven,0,0,0,0,0,0,0,368,0,281,0,0
Avil,0,0,0,0,0,27,0,0,0,0,0,0
Avl9,85,0,152,3,68,0,2,490,135,452,47,507
Avp,0,0,0,3,0,0,0,0,20,0,3,1
Avpi1,46,124,265,456,188,19,0,232,210,189,0,209
Avpr1a,0,0,0,0,0,0,0,0,0,0,0,0
Avpr1b,0,0,0,0,0,0,0,0,1,0,0,1
Avpr2,0,0,0,0,0,0,0,0,0,0,0,0
Awat1,0,0,0,0,0,0,0,0,0,0,0,0
Awat2,0,0,0,0,0,0,0,0,0,0,0,0
Axin1,90,0,152,0,60,0,0,137,124,0,22,328
Axin2,108,677,43,0,127,245,10,867,247,0,237,362
Axl,1,600,139,0,0,62,0,856,1,622,277,1
Aym1,0,0,0,0,0,0,0,0,0,0,0,0
Azgp1,0,0,0,0,0,0,0,0,0,0,0,0
Azi1,3,40,47,3,1,26,0,1,219,327,903,142
Azi2,319,787,287,57,835,118,428,79,343,879,1307,1300
Azin1,185,55,700,94,3536,480,64,1,479,1386,508,2963
B020004C17Rik,16,11,8,26,3,15,4,10,28,0,2,13
B020004J07Rik,0,0,0,1,1,4,0,2,0,1,4,2
B020014A21Rik,73,66,69,101,55,79,50,197,83,61,81,61
B020018J22Rik,2,2,0,1,0,0,0,3,3,0,0,0
B020031M17Rik,0,0,0,0,0,0,0,0,0,0,0,0
B130006D01Rik,145,0,3,0,0,300,53,0,22,0,0,175
B130024G19Rik,0,0,0,0,0,0,0,0,0,0,0,1
B130034C11Rik,0,0,148,0,0,145,74,27,6,0,0,157
B230118H07Rik,2,547,273,1045,728,405,82,193,222,1123,284,146
B230119M05Rik,0,0,0,0,0,0,0,0,0,0,0,0
B230120H23Rik,13,1267,5,4,1,539,4,23,22,176,25,50
B230206H07Rik,15,0,2,1,0,1,1,7,9,3,0,3
B230208H11Rik,64,26,15,21,17,31,8,13,45,28,3,7
B230209E15Rik,313,160,454,406,629,647,125,347,365,1190,509,703
B230209K01Rik,0,0,0,0,0,0,0,0,2,117,0,0
B230214G05Rik,0,0,0,0,0,0,0,0,0,0,0,0
B230216G23Rik,1,0,36,0,0,0,0,6,3,0,56,0
B230216N24Rik,14,0,11,0,0,17,9,0,127,0,81,6
B230217C12Rik,244,73,337,287,899,403,13,577,444,284,389,443
B230217O12Rik,45,0,27,0,10,0,9,0,49,271,9,194
B230219D22Rik,133,103,816,395,1888,1825,211,642,985,2607,2181,617
B230312C02Rik,0,0,0,0,0,0,0,0,0,0,0,0
B230319C09Rik,0,0,75,0,0,0,0,0,0,0,0,0
B230323A14Rik,0,0,0,0,0,0,0,0,0,0,0,0
B230378P21Rik,1,12,22,0,0,0,132,0,0,9,2,299
B2m,3,19,171,443,412,260,7,341,851,1627,397,381
B330016D10Rik,0,0,0,0,0,0,0,0,0,0,0,0
B3galnt1,157,2,583,88,1679,999,27,33,247,750,2,1373
B3galnt2,82,0,60,0,73,135,49,90,219,0,169,127
B3galt1,304,439,914,121,1480,1229,15,211,509,450,371,623
B3galt2,311,733,332,207,1321,488,74,643,860,1000,34,655
B3galt4,0,1053,128,314,204,112,0,0,189,0,0,57
B3galt5,69,67,401,740,879,696,43,1276,670,454,97,437
B3galt6,36,1,25,0,306,254,1,37,44,457,0,769
B3galtl,39,410,13,0,0,159,2,0,174,28,0,0
B3gat1,458,758,736,104,366,539,528,764,327,885,106,923
B3gat2,41,0,197,0,44,0,0,5,40,1,30,254
B3gat3,130,354,61,3,125,237,98,86,195,332,55,231
B3gnt1,132,2210,519,36,1787,1494,148,448,698,1085,235,1283
B3gnt2,63,78,501,59,1072,792,57,22,286,517,0,530
B3gnt3,0,0,0,0,0,0,0,0,0,0,0,0
B3gnt4,0,0,41,0,0,0,0,0,0,0,0,0
B3gnt5,0,0,0,0,0,0,0,0,0,0,0,0
B3gnt6,0,0,5,0,0,0,0,0,0,0,0,0
B3gnt7,0,0,94,0,0,53,0,0,0,0,0,2
B3gnt8,0,0,0,0,0,0,0,0,0,0,0,0
B3gnt9,147,0,0,0,0,0,0,0,0,0,0,0
B3gntl1,0,0,11,0,7,146,0,1086,103,0,0,173
B430010I23Rik,0,0,0,0,11,0,0,0,0,5,0,0
B430212C06Rik,0,0,0,0,1,0,0,0,0,0,0,0
B430306N03Rik,3,3,7,1,1,4,1,6,1,5,0,9
B430319G15Rik,0,0,0,0,0,0,0,0,0,2,319,0
B4galnt1,198,1803,1074,1,1536,1102,62,322,198,1996,524,550
B4galnt2,49,57,61,94,37,83,41,62,74,33,34,39
B4galnt3,0,0,0,0,0,0,0,0,0,0,0,0
B4galnt4,110,91,271,1413,503,111,1001,59,130,813,600,369
B4galt1,85,1,360,0,283,371,116,929,227,178,1,429
B4galt2,149,529,58,681,460,242,64,686,495,0,29,35
B4galt3,435,190,567,109,1264,672,433,167,57,296,681,920
B4galt4,254,8,562,10,1084,520,158,92,282,1182,659,523
B4galt5,50,192,321,367,48,110,35,412,145,160,187,136
B4galt6,558,450,896,1606,1147,1281,225,478,1450,1254,1892,1316
B4galt7,0,0,2,0,180,11,0,164,0,357,322,772
B630005N14Rik,61,0,188,14,404,389,407,9,463,233,353,284
B630019K06Rik,9,127,84,109,22,51,26,515,15,137,195,430
B830017H08Rik,0,0,0,0,0,0,0,0,0,8,0,0
B930003M22Rik,0,0,43,0,0,1,0,107,71,149,110,102
B930018H19Rik,2,0,0,0,0,0,0,0,0,0,0,0
B930025P03Rik,0,0,0,0,0,0,0,0,0,0,0,0
B930041F14Rik,126,0,249,0,3,5,0,94,160,137,0,300
B930059L03Rik,52,0,87,0,170,119,1,749,91,182,366,7
B930092H01Rik,0,0,0,0,0,0,0,0,0,0,0,0
B9d1,12,489,186,1227,121,195,0,662,125,627,814,335
B9d2,0,0,4,0,0,111,9,0,124,804,289,83
BB014433,0,0,86,0,0,0,0,0,0,0,0,0
BB019430,0,0,0,0,0,0,0,0,0,0,0,0
BB031773,0,0,0,0,0,0,0,0,0,0,0,0
BB123696,0,0,3,0,9,0,0,15,2,0,0,1
BB283400,16,3,7,1,6,4,2,2,7,7,5,4
BB287469,0,0,0,0,0,0,0,0,0,0,0,0
BB557941,0,0,8,0,2,26,0,0,15,0,0,1
BC002163,47,16,25,94,33,30,6,21,45,91,87,34
BC003331,248,722,472,253,1200,1176,54,634,451,1409,674,2247
BC003965,89,178,407,3,434,299,214,639,643,618,1009,1269
BC004004,187,731,90,40,416,834,75,0,180,893,929,835
BC005537,60,8,395,70,45,172,14,62,184,678,945,609
BC005561,288,8,215,641,0,607,29,1442,331,566,0,564
BC005624,65,336,343,1,517,873,166,627,145,1215,607,1460
BC005764,1,0,475,670,311,39,0,229,1,181,0,648
BC006965,8,1,24,20,11,2,7,8,8,57,4,1
BC016423,489,3,634,0,21,473,256,20,198,253,1264,97
BC016579,0,0,0,0,0,0,0,0,0,0,0,0
BC017158,67,1,45,0,20,170,105,144,15,159,61,490
BC017612,4,1,0,0,0,9,0,0,19,0,0,0
BC017643,0,1,382,0,486,0,1,373,94,0,1188,22
BC018242,1065,3309,2994,2818,5182,3130,396,1457,2106,5233,2581,3442
BC018473,326,383,64,64,81,177,190,26,73,81,35,27
BC018507,285,104,304,1,325,1157,914,581,510,1156,92,1249
BC020402,0,0,109,0,0,82,0,1,0,265,0,47
BC021614,0,0,0,0,0,0,0,0,0,0,0,0
BC021767,0,0,0,0,0,0,0,0,0,0,0,64
BC021785,22,12,34,21,8,22,10,29,30,3,1,25
BC021891,0,0,0,0,0,0,0,0,0,0,0,0
BC022687,1,117,45,1,154,135,8,317,0,112,1,126
BC023829,0,0,0,0,285,18,0,0,559,100,0,563
BC024139,0,0,0,0,0,0,0,0,0,0,0,0
BC024386,46,23,16,39,21,32,19,50,34,15,14,25
BC024582,0,0,0,4,0,0,0,0,0,0,0,0
BC024978,0,0,7,0,0,0,0,3,28,6,369,466
BC025920,98,0,47,0,29,26,16,2,0,28,259,46
BC026585,0,0,0,0,0,27,0,0,0,0,0,203
BC026590,296,2,70,55,1350,46,6,255,79,234,1,851
BC027072,0,0,0,0,0,0,0,0,0,0,0,0
BC027231,69,11,58,9,67,92,144,0,80,1,136,69
BC028528,0,0,0,0,0,0,0,0,0,0,0,11
BC029214,6,0,185,346,294,110,4,45,488,459,274,124
BC029722,30,413,5,100,152,9,7,218,97,434,370,263
BC030307,0,0,0,0,4,0,0,0,0,0,0,17
BC030336,67,651,257,671,244,850,64,60,386,435,197,592
BC030476,21,21,5,11,154,132,8,17,18,4,122,9
BC030500,0,0,0,0,1,0,0,0,0,0,0,207
BC030867,0,0,50,0,0,1,0,0,0,0,0,87
BC030870,0,0,0,0,0,2,0,1,0,0,0,2
BC031181,205,1279,642,819,1620,1099,108,663,981,3306,1517,1130
BC031361,2,0,22,0,0,10,0,0,2,0,0,0
BC033916,66,114,55,78,33,64,31,60,57,10,18,109
BC035044,0,0,0,0,0,0,0,117,0,0,0,0
BC037032,0,0,166,109,40,1,0,49,43,0,0,3
BC037034,11,5,4,271,20,0,13,236,43,254,0,49
BC037704,0,0,0,0,0,0,0,230,164,24,0,66
BC039771,232,57,102,93,31,117,48,161,125,49,45,51
BC039966,0,0,0,0,0,0,0,1,0,0,0,0
BC048403,1,29,42,4,4,81,2,3,63,11,1,20
BC048502,0,0,0,0,0,0,0,0,0,0,0,0
BC048507,0,0,0,0,1,0,0,0,1,1,0,0
BC048546,10,115,1,0,171,0,1,111,206,595,354,0
BC048562,0,0,0,0,0,0,0,0,0,0,0,0
BC048602,0,0,0,0,0,0,0,0,0,0,0,0
BC048609,0,0,0,0,0,25,0,0,0,0,0,0
BC048644,0,0,0,0,0,0,0,0,0,0,0,0
BC048671,0,0,0,0,0,0,0,0,0,0,0,0
BC048679,0,0,0,0,0,0,0,0,0,0,0,0
BC048943,0,0,0,0,0,0,0,0,0,0,0,0
BC049352,0,0,0,0,0,0,0,0,0,0,0,0
BC049635,0,0,412,469,0,92,129,32,1,0,590,36
BC049715,0,0,10,0,7,0,20,0,0,16,3,0
BC049730,0,0,0,0,0,0,0,0,0,0,0,0
BC049762,0,0,0,0,0,0,0,0,0,0,0,0
BC051019,0,0,0,0,0,0,0,0,0,0,0,0
BC051070,0,0,0,0,0,0,0,0,0,0,0,0
BC051142,4,0,0,0,1,0,0,0,0,0,0,0
BC051226,4,0,0,0,0,2,0,0,0,2,12,0
BC051537,0,0,0,0,0,0,0,0,0,0,0,0
BC051628,0,0,0,0,0,0,0,0,0,0,0,0
BC051665,0,0,0,0,0,0,0,0,0,0,0,0
BC052040,41,0,2,0,1,1,6,89,0,753,0,6
BC052688,5,36,29,196,20,134,1,0,1,67,0,56
BC053393,0,0,0,1,0,0,0,0,1,0,0,0
BC053749,5,1,90,2,0,5,1,5,11,2,2,6
BC055111,0,0,0,0,0,0,124,0,0,0,0,0
BC055324,0,0,4,0,0,2,0,0,0,0,0,1
BC055402,0,0,0,0,0,0,0,0,0,0,0,0
BC056474,80,11,318,1124,645,213,13,250,369,1464,868,240
BC061194,0,0,0,0,0,0,0,14,0,0,0,0
BC061212,0,0,0,0,0,0,0,0,0,0,0,0
BC061237,0,0,0,0,0,0,0,0,0,0,0,0
BC064078,12,0,1,0,4,8,0,0,0,3,0,4
BC065397,74,0,68,0,28,86,0,28,0,0,73,27
BC068157,94,5,443,352,740,336,14,874,209,325,511,493
BC068281,10,4,148,6,144,171,264,77,190,55,3,75
BC080695,0,0,0,0,0,0,0,0,0,0,0,0
BC089491,0,0,0,0,0,0,0,0,0,0,0,0
BC089597,0,0,0,0,0,0,0,0,0,0,0,0
BC090627,0,0,0,0,0,0,0,0,0,0,0,0
BC094916,0,0,1,10,1,3,1,2,2,3,3,0
BC096441,0,0,0,0,0,0,0,0,0,0,0,0
BC100451,0,0,0,0,0,0,0,0,0,0,0,0
BC100530,0,0,0,0,0,0,0,0,0,0,0,0
BC107364,10,0,0,0,20,0,0,0,0,0,0,0
BC117090,0,0,0,0,0,0,0,0,0,0,0,0
BC125332,0,0,0,0,0,0,0,0,0,0,0,0
BC147527,0,0,0,0,0,0,0,3,0,0,0,0
Baalc,6,12,0,96,43,86,101,2,0,0,1,135
Baat,0,0,0,0,0,0,0,0,45,0,0,0
Baat1,0,0,36,0,0,0,0,0,0,0,0,0
Babam1,385,942,901,1922,773,485,6,640,154,1362,1199,857
Bace1,62,293,473,6,1173,1136,291,1505,576,799,299,1129
Bace2,0,0,0,0,0,0,0,0,0,0,0,0
Bach1,0,0,301,0,7,21,1,47,33,141,0,81
Bach2,51,37,269,71,40,88,29,45,321,283,52,77
Bad,30,1,187,392,470,83,0,363,386,895,991,323
Bag1,214,782,44,2794,60,758,22,499,417,3840,3137,283
Bag2,1,0,0,0,179,222,0,0,0,388,182,373
Bag3,0,0,0,235,2,0,1,17,0,0,0,250
Bag4,283,241,580,925,1345,751,168,481,527,2845,1641,1160
Bag5,0,600,5,1412,1149,408,187,1245,99,1844,841,1295
Bag6,85,61,535,358,572,484,75,930,724,947,1636,1041
Bahcc1,0,9,176,0,22,18,121,86,194,22,8,1
Bahd1,5,12,333,0,0,13,15,0,362,498,153,218
Bai1,340,296,557,993,457,536,262,928,372,374,288,371
Bai2,860,3273,2624,417,1325,2387,1634,2058,1652,2418,4433,2201
Bai3,239,424,1479,153,821,791,242,557,1612,191,897,1060
Baiap2,2524,2088,4838,4561,8226,6038,2004,5306,2227,7999,6993,3970
Baiap2l1,7,0,15,0,21,0,0,0,60,0,0,0
Baiap2l2,0,0,0,166,0,0,0,0,0,0,0,39
Baiap3,36,0,0,0,0,0,0,0,0,99,239,0
Bak1,16,4,4,0,7,17,0,0,0,4,0,0
