,GSM3690885_NS_NG18_htseq,GSM3690888_NS_NG21_htseq,GSM3690886_NS_NG19_htseq,GSM3690887_NS_NG20_htseq
Arl8b,501,3207,1042,3580
Arl9,0,0,0,0
Armc1,5,2082,1102,199
Armc10,0,331,131,0
Armc12,0,0,0,0
Armc2,1,3,1,0
Armc3,0,0,0,0
Armc4,0,0,0,0
Armc5,0,0,0,0
Armc6,0,467,29,123
Armc7,0,0,346,0
Armc8,74,1015,852,27
Armc9,0,716,0,0
Armcx1,407,164,1657,226
Armcx2,3,1002,33,734
Armcx3,12,246,215,1154
Armcx4,42,2,300,10
Armcx5,0,367,43,0
Armcx6,0,0,0,525
Arnt,1,474,33,2357
Arnt2,3,331,22,0
Arntl,0,0,31,0
Arntl2,0,38,0,0
Arpc1a,2737,2733,1653,2582
Arpc1b,0,171,2,30
Arpc2,2318,6073,1858,6449
Arpc3,10,506,0,1016
Arpc4,845,1250,288,913
Arpc5,1601,1256,1275,2149
Arpc5l,504,2922,363,2345
Arpp19,359,1553,2462,1372
Arpp21,8620,293,1473,333
Arr3,0,0,0,0
Arrb1,12,54,339,29
Arrb2,379,0,117,266
Arrdc1,0,0,0,0
Arrdc2,0,17,0,0
Arrdc3,0,250,3,426
Arrdc4,0,0,0,0
Arrdc5,0,0,0,0
Arsa,0,317,0,185
Arsb,1803,1213,423,579
Arsg,0,0,0,2
Arsi,0,0,0,0
Arsj,0,0,0,0
Arsk,0,154,0,17
Art1,0,0,0,0
Art2a-ps,0,0,0,0
Art2b,0,0,0,0
Art3,0,0,0,0
Art4,0,0,0,0
Art5,0,0,0,0
Artn,0,0,0,0
Arv1,0,14,0,0
Arvcf,0,0,1,93
Arx,0,0,0,0
Arxes1,0,453,466,5
Arxes2,0,897,426,690
As3mt,0,0,1,0
Asah1,0,691,0,989
Asah2,0,0,1,0
Asap1,212,175,4,0
Asap2,2,5,2,0
Asap3,9,4,102,3
Asb1,0,0,0,149
Asb10,0,0,0,0
Asb11,0,0,0,0
Asb12,0,0,0,0
Asb13,7,449,986,736
Asb14,0,0,0,0
Asb15,0,0,0,0
Asb16,0,0,0,0
Asb17,0,0,0,0
Asb18,0,0,0,0
Asb2,0,0,0,0
Asb3,50,505,0,723
Asb4,0,0,0,0
Asb5,0,0,0,0
Asb6,0,200,371,10
Asb7,1,0,3,0
Asb8,0,1249,6,126
Asb9,0,0,0,0
Ascc1,11,0,24,0
Ascc2,0,0,52,2
Ascc3,0,44,36,263
Ascl1,0,0,67,610
Ascl2,0,0,0,0
Ascl3,0,0,0,0
Ascl4,0,0,0,0
Ascl5,0,0,0,0
Asf1a,3,277,89,514
Asf1b,0,94,0,0
Asgr1,0,0,0,0
Asgr2,0,0,0,0
Ash1l,493,767,1395,996
Ash2l,0,699,62,443
Asic1,5,0,80,0
Asic2,0,42,54,5
Asic3,0,0,0,0
Asic4,0,188,0,1
Asic5,0,0,0,0
Asl,7,0,0,509
Asmt,0,0,0,0
Asna1,33,508,608,653
Asns,0,435,264,720
Asnsd1,8,2,373,709
Aspa,0,29,5,0
Aspdh,987,97,0,0
Aspg,0,0,0,0
Asph,0,1195,142,20
Asphd1,1,0,21,0
Asphd2,466,1217,167,893
Aspm,0,0,0,0
Aspn,0,0,0,0
Asprv1,0,0,0,0
Aspscr1,312,426,0,442
Asrgl1,996,879,168,742
Ass1,0,0,0,0
Aste1,0,0,0,45
Astl,0,0,0,0
Astn1,201,791,1090,68
Astn2,3,1,2,0
Asun,0,4,25,451
Asxl1,0,829,0,0
Asxl2,155,95,26,935
Asxl3,1,0,321,3
Asz1,0,0,0,0
Atad1,0,883,1302,0
Atad2,4,63,14,16
Atad2b,18,59,512,6
Atad3a,0,1197,53,0
Atad5,0,0,0,0
Atat1,0,227,0,148
Atcay,1078,1036,354,281
Ate1,32,704,1350,2008
Atf1,2,570,66,0
Atf2,1785,949,759,927
Atf3,0,0,1,0
Atf4,2104,427,798,1165
Atf5,0,122,3,1
Atf6,0,964,227,0
Atf6b,0,207,526,388
Atf7,0,29,0,191
Atf7ip,31,1142,113,165
Atf7ip2,0,0,0,0
Atg10,0,1,0,0
Atg12,1,272,16,952
Atg13,9,1173,0,1
Atg14,7,157,295,137
Atg16l1,0,673,188,459
Atg16l2,0,9,0,0
Atg2a,1,347,0,0
Atg2b,0,576,238,100
Atg3,287,557,339,1090
Atg4a,0,1,0,0
Atg4b,0,685,7,218
Atg4c,11,945,68,277
Atg4d,0,0,0,0
Atg5,0,1479,310,151
Atg7,3,0,63,5
Atg9a,254,969,0,315
Atg9b,0,0,0,0
Athl1,0,0,0,0
Atic,12,74,0,0
Atl1,0,469,1027,100
Atl2,10,656,567,742
Atl3,0,241,96,0
Atm,62,458,21,3
Atmin,104,1,182,0
Atn1,0,719,106,520
Atoh1,0,0,0,0
Atoh7,0,10,0,0
Atoh8,0,0,0,0
Atox1,418,654,610,654
Atp10a,0,0,0,0
Atp10b,0,6,4,0
Atp10d,0,0,768,0
Atp11a,0,0,13,416
Atp11b,0,8,43,1
Atp11c,0,124,3,0
Atp12a,0,0,0,0
Atp13a1,0,0,0,0
Atp13a2,0,721,69,0
Atp13a3,9,170,99,34
Atp13a4,0,0,0,0
Atp13a5,0,3,0,0
Atp1a1,6,3307,786,635
Atp1a2,2182,315,3453,5663
Atp1a3,1792,14927,1652,3237
Atp1a4,0,0,0,0
Atp1b1,7992,13501,3854,6339
Atp1b2,267,2266,1043,3460
Atp1b3,2623,94,1085,888
Atp1b4,0,0,0,0
Atp2a1,0,0,0,0
Atp2a2,245,2510,1474,3247
Atp2a3,0,0,164,0
Atp2b1,1353,9149,6832,3137
Atp2b2,80,4487,1732,968
Atp2b3,154,1854,719,157
Atp2b4,1001,431,248,207
Atp2c1,5,776,571,944
Atp2c2,0,0,0,0
Atp4a,0,0,0,0
Atp4b,0,0,0,0
Atp5a1,5937,8507,3599,6744
Atp5b,6323,15031,3375,9455
Atp5c1,4369,3446,2186,7351
Atp5d,2118,1781,637,2928
Atp5e,2512,1429,1419,3260
Atp5f1,1055,3430,2907,6285
Atp5g1,5513,3460,675,4492
Atp5g2,697,1053,1320,1192
Atp5g3,6056,1585,2097,5014
Atp5h,5323,3840,1888,7937
Atp5j,4891,3735,1636,7538
Atp5j2,2910,1163,796,2021
Atp5k,2459,1458,854,2519
Atp5l,4882,3112,2960,5360
Atp5o,2816,2942,588,5286
Atp5s,0,362,0,173
Atp5sl,152,323,0,16
Atp6ap1,157,2548,1080,244
Atp6ap1l,0,0,0,0
Atp6ap2,348,1275,260,88
Atp6v0a1,329,2323,441,484
Atp6v0a2,0,95,0,0
Atp6v0a4,0,0,0,0
Atp6v0b,236,2529,851,1797
Atp6v0c,0,4,0,2
Atp6v0c-ps2,0,0,0,0
Atp6v0d1,3075,1174,260,2305
Atp6v0d2,0,0,0,0
Atp6v0e,0,280,12,1118
Atp6v0e2,1555,8199,1462,2127
Atp6v1a,5990,7537,3861,9662
Atp6v1b1,0,0,0,0
Atp6v1b2,3330,6035,1965,6116
Atp6v1c1,478,2459,1293,3532
Atp6v1c2,0,0,0,0
Atp6v1d,554,5934,573,9658
Atp6v1e1,4051,4705,2346,5070
Atp6v1e2,0,0,0,0
Atp6v1f,745,2040,710,4455
Atp6v1g1,2024,1912,586,3812
Atp6v1g2,3803,5550,2123,8410
Atp6v1g3,0,0,0,0
Atp6v1h,1,218,192,2037
Atp7a,0,171,5,138
Atp7b,0,0,0,0
Atp8a1,1963,3630,1551,1718
Atp8a2,0,0,0,0
Atp8b1,0,0,0,0
Atp8b2,0,0,103,0
Atp8b3,0,0,0,0
Atp8b4,0,0,0,0
Atp8b5,0,0,0,0
Atp9a,529,1006,612,24
Atp9b,1,1583,127,0
Atpaf1,0,1052,151,0
Atpaf2,2,781,5,21
Atpbd4,1029,515,273,1077
Atpif1,3859,3035,850,4679
Atr,0,10,0,0
Atraid,94,1219,11,1558
Atrip,0,419,0,0
Atrn,51,2052,880,575
Atrnl1,1,85,172,697
Atrx,40,1150,2556,2104
Atxn1,36,1322,102,1447
Atxn10,2333,2737,1115,3922
Atxn1l,0,0,124,0
Atxn2,2,793,423,265
Atxn2l,36,566,56,673
Atxn3,0,0,0,307
Atxn7,0,386,23,206
Atxn7l1,0,2,18,783
Atxn7l2,0,0,37,102
Atxn7l3,3,5,51,121
Atxn7l3b,1883,1667,1904,4207
Auh,11,1116,61,797
Aup1,0,877,0,311
Aurka,0,0,0,0
Aurkaip1,2742,1961,317,937
Aurkb,0,0,0,0
Aurkc,0,0,0,0
Auts2,948,938,2217,1256
Aven,0,9,0,513
Avil,0,0,0,0
Avl9,365,1,0,777
Avp,0,0,0,0
Avpi1,38,333,0,0
Avpr1a,0,0,0,0
Avpr1b,0,0,0,0
Avpr2,0,0,0,0
Awat1,0,0,0,0
Awat2,0,0,0,0
Axin1,0,51,8,444
Axin2,0,169,73,233
Axl,0,437,48,756
Aym1,0,0,0,0
Azgp1,0,0,0,0
Azi1,0,56,0,1
Azi2,312,386,289,557
Azin1,2327,690,940,923
B020004C17Rik,21,1,17,5
B020004J07Rik,0,0,0,0
B020014A21Rik,30,48,23,19
B020018J22Rik,0,0,0,0
B020031M17Rik,0,0,0,0
B130006D01Rik,0,0,268,0
B130024G19Rik,0,0,0,3
B130034C11Rik,0,54,0,0
B230118H07Rik,142,159,60,797
B230119M05Rik,0,0,0,0
B230120H23Rik,2,0,198,2
B230206H07Rik,3,21,4,0
B230208H11Rik,3,12,4,3
B230209E15Rik,15,154,490,8
B230209K01Rik,0,0,0,0
B230214G05Rik,0,0,0,0
B230216G23Rik,0,0,0,0
B230216N24Rik,0,0,0,0
B230217C12Rik,566,323,552,2739
B230217O12Rik,0,238,0,512
B230219D22Rik,769,211,79,1068
B230312C02Rik,0,0,0,0
B230319C09Rik,0,0,0,0
B230323A14Rik,0,0,0,0
B230378P21Rik,0,49,32,0
B2m,0,473,146,1712
B330016D10Rik,0,0,0,91
B3galnt1,128,577,550,0
B3galnt2,0,141,0,230
B3galt1,24,439,367,1529
B3galt2,1836,958,345,1152
B3galt4,0,0,15,0
B3galt5,43,176,24,0
B3galt6,0,144,445,13
B3galtl,0,5,0,51
B3gat1,0,438,567,304
B3gat2,0,0,0,0
B3gat3,24,171,91,443
B3gnt1,337,1108,7,778
B3gnt2,17,608,633,195
B3gnt3,0,0,0,0
B3gnt4,0,0,0,0
B3gnt5,0,0,0,0
B3gnt6,0,0,0,0
B3gnt7,0,0,0,0
B3gnt8,0,0,0,0
B3gnt9,0,0,0,0
B3gntl1,0,0,0,0
B430010I23Rik,0,0,0,0
B430212C06Rik,0,182,0,0
B430306N03Rik,1,0,7,0
B430319G15Rik,0,0,0,0
B4galnt1,0,1225,109,63
B4galnt2,29,37,27,8
B4galnt3,0,0,0,0
B4galnt4,1,88,26,0
B4galt1,0,301,0,349
B4galt2,0,74,0,0
B4galt3,243,547,24,0
B4galt4,0,721,1574,0
B4galt5,1462,142,61,119
B4galt6,153,540,1674,1191
B4galt7,0,11,0,0
B630005N14Rik,121,13,30,5
B630019K06Rik,40,476,20,0
B830017H08Rik,0,0,0,0
B930003M22Rik,0,0,0,0
B930018H19Rik,0,0,0,0
B930025P03Rik,0,6,0,0
B930041F14Rik,0,0,0,0
B930059L03Rik,0,0,0,0
B930092H01Rik,0,0,0,0
B9d1,0,18,0,0
B9d2,0,234,53,0
BB014433,0,0,0,0
BB019430,0,0,0,0
BB031773,0,0,0,0
BB123696,0,0,0,0
BB283400,0,1,1,0
BB287469,0,0,0,0
BB557941,0,0,0,0
BC002163,43,44,49,129
BC003331,668,1045,175,59
BC003965,1685,219,703,310
BC004004,6,1019,8,632
BC005537,0,314,323,358
BC005561,13,3,9,2
BC005624,1079,676,72,350
BC005764,0,0,31,0
BC006965,0,1,0,0
BC016423,0,586,37,169
BC016579,0,0,0,0
BC017158,2,495,12,0
BC017612,0,1,0,0
BC017643,0,395,0,0
BC018242,2013,2960,441,636
BC018473,235,43,332,122
BC018507,17,633,36,0
BC020402,698,0,0,496
BC021614,0,0,0,0
BC021767,0,0,0,0
BC021785,12,21,24,8
BC021891,0,0,0,0
BC022687,0,18,0,0
BC023829,0,473,0,0
BC024139,0,0,0,0
BC024386,11,15,33,32
BC024582,0,0,0,0
BC024978,0,1,0,0
BC025920,0,19,0,0
BC026585,0,53,0,0
BC026590,2,132,8,0
BC027072,0,0,0,0
BC027231,0,311,2,0
BC028528,0,0,0,0
BC029214,883,0,1,251
BC029722,179,150,0,127
BC030307,0,0,0,0
BC030336,32,483,2131,242
BC030476,21,9,18,7
BC030500,0,0,0,0
BC030867,0,0,0,0
BC030870,0,1,0,0
BC031181,235,839,113,3356
BC031361,0,0,0,0
BC033916,9,44,17,32
BC035044,0,0,0,0
BC037032,0,0,0,0
BC037034,0,0,43,91
BC037704,0,0,0,0
BC039771,48,31,58,10
BC039966,0,0,0,0
BC048403,1,38,3,0
BC048502,0,0,0,0
BC048507,2,0,0,2
BC048546,315,2,159,1115
BC048562,0,0,0,0
BC048602,0,0,0,0
BC048609,0,0,0,0
BC048644,0,0,0,0
BC048671,0,0,0,0
BC048679,0,0,0,0
BC048943,0,0,0,0
BC049352,0,0,0,0
BC049635,0,0,0,0
BC049715,0,140,0,0
BC049730,0,0,0,0
BC049762,0,39,77,0
BC051019,0,0,0,0
BC051070,0,0,0,0
BC051142,0,0,0,0
BC051226,0,0,0,0
BC051537,0,0,0,0
BC051628,0,0,0,0
BC051665,0,0,0,0
BC052040,0,179,0,0
BC052688,0,37,0,0
BC053393,0,1,0,0
BC053749,9,7,1,1
BC055111,0,0,0,0
BC055324,0,31,0,0
BC055402,0,0,0,0
BC056474,526,1057,360,360
BC061194,0,0,0,0
BC061212,0,0,0,0
BC061237,0,0,0,0
BC064078,0,0,0,0
BC065397,0,0,0,0
BC068157,249,80,41,190
BC068281,8,4,96,0
BC080695,0,0,0,0
BC089491,0,0,0,0
BC089597,0,0,0,0
BC090627,0,0,0,0
BC094916,3,0,0,1
BC096441,0,0,0,0
BC100451,0,0,0,0
BC100530,0,0,0,0
BC107364,0,0,0,0
BC117090,0,0,0,0
BC125332,0,0,0,0
BC147527,0,0,0,0
Baalc,0,5,1,5
Baat,0,0,0,0
Baat1,0,0,0,0
Babam1,1271,466,0,550
Bace1,151,841,13,1164
Bace2,0,0,0,0
Bach1,0,0,0,0
Bach2,50,26,83,11
Bad,775,178,379,594
Bag1,1180,251,426,14
Bag2,0,0,0,0
Bag3,291,0,0,0
Bag4,532,884,335,1826
Bag5,390,106,232,454
Bag6,36,411,291,107
Bahcc1,5,0,0,0
Bahd1,6,268,64,0
Bai1,0,101,75,46
Bai2,3079,66,501,760
Bai3,0,970,696,72
Baiap2,1678,3339,1753,4581
Baiap2l1,0,0,0,0
Baiap2l2,0,0,0,0
Baiap3,0,263,0,0
Bak1,1,2,8,0
Bambi,0,525,0,0
Bambi-ps1,6,15,5,0
Banf1,2428,534,107,1014
Banf2,0,0,0,0
Bank1,0,0,0,0
Banp,231,1146,585,387
Bap1,2439,215,0,1216
Bard1,0,12,1,0
Barhl1,0,0,0,0
Barhl2,1,0,2,0
Barx1,0,0,0,0
Barx2,0,0,0,0
Basp1,2129,533,2271,2501
Batf,0,0,0,0
Batf2,0,0,0,0
Batf3,0,0,0,0
Bax,1188,1125,421,1137
Baz1a,0,0,0,0
Baz1b,486,991,800,200
Baz2a,64,28,66,0
Baz2b,9,76,4,5
Bbc3,0,2,36,85
Bbip1,139,561,140,51
Bbox1,0,0,0,0
Bbs1,15,9,281,22
Bbs10,0,0,0,0
Bbs12,0,396,0,0
Bbs2,0,0,650,0
Bbs4,111,1739,662,682
Bbs5,0,350,0,0
Bbs7,0,363,1,0
Bbs9,0,0,0,0
Bbx,273,117,177,674
Bc1,5222,735,7896,1202
Bcam,0,0,0,0
Bcan,6,9,30,51
Bcap29,1,318,373,1773
Bcap31,547,242,0,716
Bcar1,50,872,249,96
Bcar3,0,0,2,521
Bcas1,100,1827,0,0
Bcas2,39,660,1750,321
Bcas3,16,868,12,561
Bcat1,108,0,76,73
Bcat2,1,246,0,0
Bccip,974,955,8,1111
Bcdin3d,507,0,0,0
Bche,0,111,0,0
Bckdha,0,519,0,220
Bckdhb,0,60,5,1
Bckdk,103,265,61,587
Bcl10,0,0,5,1
Bcl11a,35,291,717,783
Bcl11b,1176,2447,1084,2438
Bcl2,5,275,1,3
Bcl2a1a,0,0,0,0
Bcl2a1b,0,73,0,0
Bcl2a1c,0,0,0,0
Bcl2a1d,0,0,0,0
Bcl2l1,140,1325,140,718
Bcl2l10,0,0,0,0
Bcl2l11,1,6,3,1
Bcl2l12,0,0,0,85
Bcl2l13,0,46,47,12
Bcl2l14,0,0,0,0
Bcl2l15,0,0,0,0
Bcl2l2,3,3,16,313
Bcl3,0,0,0,0
Bcl6,842,1383,9,745
Bcl6b,0,0,0,3
Bcl7a,763,522,135,47
Bcl7b,0,353,102,503
Bcl7c,0,0,0,0
Bcl9,0,74,151,422
Bcl9l,2,30,5,70
Bclaf1,241,1284,729,1813
Bcmo1,64,15,64,7
Bco2,0,0,0,0
Bcor,16,0,0,822
Bcorl1,0,628,45,160
Bcr,3,387,94,344
Bcs1l,0,80,0,0
Bdh1,0,504,115,761
Bdh2,0,0,0,0
Bdkrb1,0,0,0,0
Bdkrb2,0,0,0,0
Bdnf,15,790,494,248
Bdp1,7,478,106,177
Bean1,0,0,0,0
Becn1,1613,499,1,899
Begain,1,95,166,362
Bend3,0,0,0,0
Bend4,10,316,12,1
Bend5,0,0,0,0
Bend6,4,56,90,718
Bend7,0,0,0,0
Best1,0,0,0,9
Best2,0,0,0,0
Best3,0,593,0,454
Bet1,0,159,38,448
Bet1l,5,887,319,524
Bet3l,0,0,0,0
Beta-s,0,0,1,0
Bex1,635,856,183,1246
Bex2,3574,7177,4724,11560
Bex4,47,325,73,131
Bex6,0,0,0,0
Bfar,40,293,151,581
Bfsp1,0,0,0,0
Bfsp2,0,32,66,0
Bglap,0,0,0,0
Bglap2,0,0,0,0
Bglap3,0,0,0,0
Bgn,0,1,31,652
Bhlha15,6,1,3,1
Bhlha9,0,0,0,0
Bhlhb9,573,799,313,1313
Bhlhe22,494,509,615,1220
Bhlhe23,0,0,0,0
Bhlhe40,149,883,16,1
Bhlhe41,473,1988,27,1590
Bhmt,0,0,0,0
Bhmt2,0,0,0,0
Bicc1,0,0,0,177
Bicd1,227,922,362,0
Bicd2,0,0,90,38
Bid,0,0,11,261
Bik,0,0,0,0
Bin1,721,1304,572,348
Bin2,3,342,4,2
Bin3,0,231,12,0
Birc2,0,740,1194,228
Birc3,0,0,0,0
Birc5,32,9,17,8
Birc6,149,1550,514,2808
Birc7,0,0,0,0
Bivm,0,458,33,329
Blcap,3,762,671,1551
Blk,0,0,0,0
Blm,0,460,0,0
Blmh,0,65,60,5
Blnk,0,0,1,0
Bloc1s1,20,659,6,709
Bloc1s2a,3,663,108,734
Bloc1s3,40,11,96,9
Bloc1s4,82,117,135,587
Bloc1s5,0,1031,62,0
Bloc1s6,6,613,4,593
Blvra,27,395,0,905
Blvrb,0,9,71,0
Blzf1,0,0,106,830
Bmf,0,0,0,0
Bmi1,0,813,60,871
Bmp1,12,448,25,0
Bmp10,0,0,0,0
Bmp15,0,0,0,0
Bmp2,0,0,0,0
Bmp2k,0,71,0,0
Bmp3,3,0,12,0
Bmp4,0,0,1,0
Bmp5,0,0,0,0
Bmp6,0,0,0,0
Bmp7,0,0,0,0
Bmp8a,0,0,0,0
Bmp8b,0,1,2,0
Bmper,0,0,34,0
Bmpr1a,0,413,33,921
Bmpr1b,0,0,0,0
Bmpr2,68,359,1,14
Bms1,0,0,20,0
Bmx,0,0,0,0
Bmyc,295,493,11,1181
Bnc1,0,0,0,0
Bnc2,0,4,0,0
Bnip1,0,177,17,329
Bnip2,0,85,14,0
Bnip3,1,884,115,2351
Bnip3l,415,2324,319,1636
Bnipl,0,0,0,0
Boc,1,0,12,292
Bod1,1259,1,118,149
Bod1l,259,20,490,582
Bok,0,370,1,0
Bola1,106,243,412,505
Bola2,217,389,249,913
Bola3,740,235,421,365
Boll,0,0,0,0
Bop1,710,477,598,333
Bora,0,0,0,115
Bpgm,183,1114,112,83
Bphl,0,169,66,147
Bpi,0,0,0,0
Bpifa1,0,0,0,0
Bpifa2,0,0,0,0
Bpifa3,0,0,0,0
Bpifa5,0,0,0,0
Bpifa6,0,0,0,0
Bpifb1,0,0,0,0
Bpifb2,0,0,0,0
Bpifb3,0,0,0,0
Bpifb4,0,0,0,0
Bpifb5,0,0,0,0
Bpifb6,0,0,0,0
Bpifb9a,0,0,0,0
Bpifb9b,0,0,0,0
Bpifc,0,0,5,0
Bpnt1,4,680,94,1381
Bptf,234,240,201,631
Braf,1176,951,307,584
Brap,15,321,44,16
Brat1,0,0,0,0
Brca1,0,0,0,0
Brca2,0,8,1,0
Brcc3,206,397,515,2594
Brd1,13,260,570,709
Brd2,68,1075,138,403
Brd3,89,1121,307,534
Brd4,909,1039,524,496
Brd7,0,35,167,335
Brd8,318,956,58,486
Brd9,668,788,513,1039
Brdt,798,113,0,0
Bre,0,261,71,750
Brf1,578,0,44,77
Brf2,0,0,0,263
Bri3,500,75,333,433
Bri3bp,462,947,963,408
Bricd5,0,0,0,0
Brip1,45,50,72,99
Brix1,1382,213,2,0
Brk1,195,1766,1057,2967
Brms1,0,408,0,279
Brms1l,16,809,24,1266
Brox,0,483,46,551
Brpf1,25,30,17,37
Brpf3,0,216,1,0
Brs3,0,0,0,0
Brsk1,45,20,79,1
Brsk2,0,9,88,98
Brwd1,21,2193,256,346
Brwd3,0,12,6,109
Bscl2,1292,1669,1,512
Bsdc1,441,2,290,854
Bsg,1509,3249,948,2176
Bsn,348,669,845,1
Bsnd,0,0,0,0
Bsph1,0,0,0,0
Bsph2,0,0,0,0
Bspry,0,0,0,0
Bst1,0,0,0,0
Bst2,0,0,0,0
Bsx,0,0,0,0
Btaf1,4,613,529,3
Btbd1,66,170,103,1422
Btbd10,0,920,30,786
Btbd11,0,0,17,0
Btbd16,0,50,13,19
Btbd17,33,0,0,231
Btbd19,50,18,211,15
Btbd2,0,199,363,690
Btbd3,335,4880,1567,2951
Btbd6,57,480,0,174
Btbd7,952,21,7,0
Btbd8,0,29,0,0
Btbd9,1,2127,1431,505
Btc,7,0,0,0
Btd,0,0,0,50
Btf3,1024,1777,763,2736
Btf3l4,1101,1153,152,1142
Btg1,1144,1099,1228,380
Btg2,221,103,1,1
Btg3,0,0,0,0
Btg4,0,0,0,0
Btk,0,41,0,0
Btla,0,0,0,0
Btn1a1,0,1,0,0
Btn2a2,0,0,0,0
Btnl1,0,0,0,0
Btnl10,0,0,0,0
Btnl2,0,0,0,0
Btnl4,0,0,0,0
Btnl5,0,0,0,0
Btnl6,0,0,0,0
Btnl9,0,0,0,0
Btrc,1896,993,65,609
Bub1,0,0,0,0
Bub1b,0,0,0,0
Bub3,566,1111,186,1065
Bud13,0,359,0,0
Bud31,0,289,0,296
Bves,0,0,0,0
Bysl,0,964,312,475
Bzrap1,679,385,587,197
Bzw1,66,916,52,1507
Bzw2,1,935,278,535
C030006K11Rik,0,77,0,0
C030007H22Rik,0,0,0,0
C030013G03Rik,0,0,0,0
C030016D13Rik,0,0,0,0
C030018K13Rik,5,112,0,0
C030023E24Rik,14,34,3,0
C030030A07Rik,16,0,10,631
C030034I22Rik,0,0,0,0
C030034L19Rik,57,24,43,23
C030037D09Rik,0,0,0,0
C030039L03Rik,11,5,16,0
C030046E11Rik,0,420,4,0
C130021I20Rik,0,0,0,0
C130026I21Rik,0,0,0,0
C130026L21Rik,0,84,0,0
C130030K03Rik,255,0,0,0
C130036L24Rik,0,0,177,0
C130050O18Rik,0,0,0,0
C130060C02Rik,0,0,0,0
C130060K24Rik,0,0,0,0
C130071C03Rik,77,102,0,9
C130074G19Rik,8,0,15,0
C130079G13Rik,0,7,1,0
C130080G10Rik,0,0,16,0
C130083M11Rik,0,0,6,0
C1d,18,792,209,1266
C1galt1,0,0,0,0
C1galt1c1,297,239,13,889
C1qa,0,140,0,0
C1qb,0,1717,0,0
C1qbp,33,839,125,2155
C1qc,0,1067,2,75
C1ql1,266,0,4,0
C1ql2,489,7516,905,748
C1ql3,253,328,1127,340
C1ql4,0,0,0,0
C1qtnf1,0,0,0,0
C1qtnf2,0,0,0,0
C1qtnf3,0,0,0,0
C1qtnf4,159,227,392,47
C1qtnf5,0,0,0,0
C1qtnf6,0,0,0,0
C1qtnf7,0,0,0,0
C1qtnf9,0,0,0,0
C1ra,0,0,0,0
C1rb,0,0,0,0
C1rl,0,1,1,0
C1s,0,0,0,0
C2,0,0,5,0
C230004F18Rik,0,196,0,1
C230024C17Rik,0,0,0,0
C230035I16Rik,0,0,0,0
C230052I12Rik,0,196,1,0
C230079O03Rik,0,0,0,0
C230081A13Rik,52,330,3,0
C230091D08Rik,66,784,16,408
C2cd2,44,2,26,21
C2cd2l,1783,1921,585,414
C2cd3,0,5,63,257
C2cd4a,0,56,0,0
C2cd4b,0,50,0,57
C2cd4c,0,0,0,186
C2cd4d,0,0,0,0
C2cd5,1,1040,76,2
C3,0,0,0,48
C330005M16Rik,0,0,0,0
C330006A16Rik,2602,1072,238,1480
C330007P06Rik,0,484,91,258
C330008G21Rik,0,0,0,0
C330011F03Rik,11,3,4,1
C330013E15Rik,0,100,0,85
C330013F16Rik,0,0,0,0
C330018D20Rik,0,187,0,0
C330021F23Rik,0,0,0,0
C330022C24Rik,0,0,0,0
C330024C12Rik,0,0,0,0
C330024D21Rik,15,32,16,8
C330027C09Rik,0,0,0,0
C330046G13Rik,0,0,0,0
C3ar1,9,11,10,0
C430002E04Rik,0,3,0,0
C430049B03Rik,0,0,0,0
C4a,0,0,11,0
C4b,0,0,0,0
C4bp,0,0,0,0
C4bp-ps1,0,0,0,0
C530005A16Rik,0,36,0,0
C530008M17Rik,57,210,45,0
C530044C16Rik,0,0,0,0
C5ar1,0,0,0,0
C5ar2,3,0,0,0
C6,0,0,0,0
C630020P19Rik,7,3,1,0
C630028M04Rik,0,0,0,0
C630031E19Rik,0,0,0,0
C630043F03Rik,0,0,453,307
C7,0,0,0,0
C730002L08Rik,0,35,0,0
C730027H18Rik,0,0,0,0
C730036E19Rik,0,0,0,0
C77080,0,0,34,0
C77370,1440,482,202,1005
C78339,0,44,0,0
C86187,1,0,0,0
C86695,0,0,0,0
C87198,0,1,0,0
C87414,0,2,0,0
C87436,0,0,0,0
C87499,0,0,0,0
C87977,0,0,0,0
C8a,0,0,0,0
C8b,0,0,0,0
C8g,0,0,0,0
C9,0,0,0,0
C920006O11Rik,0,254,0,0
C920009B18Rik,0,0,0,1
C920021L13Rik,0,10,0,0
C920025E04Rik,0,0,0,0
CK137956,2,2,19,7
Caap1,0,0,0,234
Cab39,565,204,424,1355
Cab39l,0,429,47,858
Cabin1,283,132,41,54
Cables1,0,0,15,0
Cables2,0,0,22,0
Cabp1,29,0,276,83
Cabp2,0,0,0,0
Cabp4,1,0,0,0
Cabp5,19,1,19,3
Cabp7,0,0,0,17
Cabs1,0,0,0,0
Cabyr,1,0,3,0
Cacfd1,0,415,22,432
Cachd1,72,0,72,0
Cacna1a,0,32,104,0
Cacna1b,22,384,0,0
Cacna1c,151,83,66,0
Cacna1d,4,272,120,373
Cacna1e,1904,2199,1917,402
Cacna1f,0,0,0,0
Cacna1g,20,0,13,3
Cacna1h,0,479,2,0
Cacna1i,0,278,36,0
Cacna1s,0,0,0,0
Cacna2d1,452,1683,608,1448
Cacna2d2,14,0,13,0
Cacna2d3,309,369,17,732
Cacna2d4,0,0,0,0
Cacnb1,685,599,0,153
Cacnb2,0,64,103,73
Cacnb3,1,682,216,777
Cacnb4,4978,987,1045,385
