,GSM3690880_HC_NG17_htseq,GSM3690879_HC_NG16_htseq,GSM3690878_HC_NG15_htseq
Clock,0,43,196
Clp1,0,0,167
Clpb,947,0,876
Clpp,502,303,631
Clps,0,0,0
Clpsl2,0,0,0
Clptm1,3,2232,1456
Clptm1l,268,726,0
Clpx,249,0,1201
Clrn1,0,4,9
Clrn2,0,0,0
Clrn3,0,0,0
Clspn,0,0,0
Clstn1,771,538,1066
Clstn2,115,56,2744
Clstn3,3,0,719
Clta,1185,235,1914
Cltb,1826,0,364
Cltc,3994,2518,2240
Clu,3847,66,2480
Cluap1,0,0,217
Cluh,107,0,226
Clvs1,450,0,8
Clvs2,98,285,231
Clybl,853,6,0
Cma1,0,0,0
Cma2,0,0,0
Cmah,181,2,161
Cmas,1148,365,51
Cmbl,0,0,0
Cmc1,14,45,0
Cmc2,0,0,183
Cmip,1288,99,1327
Cmklr1,2,0,2
Cml1,0,0,404
Cml2,0,0,0
Cml3,0,0,0
Cml5,0,0,0
Cmpk1,1381,593,1102
Cmpk2,0,262,17
Cmss1,0,0,0
Cmtm1,0,0,0
Cmtm2a,0,0,0
Cmtm2b,0,0,0
Cmtm3,0,0,0
Cmtm4,190,70,497
Cmtm5,364,0,12
Cmtm6,0,0,0
Cmtm7,0,0,0
Cmtm8,1,3,0
Cmya5,0,0,0
Cnbd2,9,85,21
Cnbp,5323,409,7568
Cndp1,0,0,0
Cndp2,1171,6,950
Cnep1r1,1,588,0
Cnfn,0,0,0
Cnga1,0,0,0
Cnga2,0,0,0
Cnga3,5,5,3
Cnga4,0,0,0
Cngb1,3,0,1
Cngb3,0,0,0
Cnih,1830,1,767
Cnih2,35,0,281
Cnih3,411,2511,780
Cnih4,1,0,169
Cnksr1,0,0,0
Cnksr2,1701,598,2238
Cnksr3,0,0,0
Cnn1,0,0,0
Cnn2,0,0,1
Cnn3,779,8,532
Cnnm1,615,278,1789
Cnnm2,238,0,2
Cnnm3,119,112,489
Cnnm4,1060,0,675
Cnot1,13,858,1166
Cnot10,1170,1532,1878
Cnot11,0,47,0
Cnot2,10,2,294
Cnot3,1,46,419
Cnot4,586,516,926
Cnot6,1,611,0
Cnot6l,2,0,49
Cnot7,0,157,2459
Cnot8,45,0,1415
Cnp,0,968,16
Cnppd1,0,0,438
Cnpy1,0,0,0
Cnpy2,482,0,1493
Cnpy3,467,1191,950
Cnpy4,0,0,939
Cnr1,0,0,497
Cnr2,35,13,32
Cnrip1,1984,327,1992
Cnst,0,0,811
Cntd1,0,1,0
Cntf,0,0,0
Cntfr,0,96,15
Cntln,0,0,0
Cntn1,5956,950,7661
Cntn2,2,0,1
Cntn3,2,1,1
Cntn4,1,0,0
Cntn5,34,1,139
Cntn6,0,0,0
Cntnap1,218,102,252
Cntnap2,1648,252,10
Cntnap3,0,0,0
Cntnap4,0,0,0
Cntnap5a,0,0,0
Cntnap5b,0,0,0
Cntnap5c,0,0,0
Cntrob,212,0,60
Coa3,1246,490,970
Coa4,0,0,0
Coa5,442,212,611
Coa6,48,0,5
Coasy,1,300,0
Cobl,0,0,0
Cobll1,0,0,0
Coch,0,0,0
Cog1,0,0,905
Cog2,0,0,40
Cog3,451,0,311
Cog4,0,0,595
Cog5,0,0,0
Cog6,2571,1,1210
Cog7,830,1055,1158
Cog8,0,353,174
Coil,0,15,0
Col10a1,0,0,0
Col11a1,0,0,0
Col11a2,0,0,0
Col12a1,18,4,0
Col13a1,0,0,0
Col14a1,0,0,0
Col15a1,0,0,11
Col16a1,0,0,0
Col17a1,0,0,0
Col18a1,0,39,0
Col19a1,0,4,0
Col1a1,0,0,0
Col1a2,0,35,7
Col20a1,0,0,0
Col22a1,0,0,1
Col23a1,0,0,1
Col24a1,0,0,0
Col25a1,345,0,794
Col26a1,0,0,0
Col27a1,460,0,0
Col28a1,0,0,0
Col2a1,0,0,0
Col3a1,0,0,0
Col4a1,0,34,0
Col4a2,0,0,0
Col4a3,0,0,0
Col4a3bp,0,0,6
Col4a4,0,0,0
Col4a5,0,0,0
Col4a6,0,0,0
Col5a1,0,0,0
Col5a2,0,0,0
Col5a3,0,0,0
Col6a1,235,0,213
Col6a2,0,0,0
Col6a3,0,0,0
Col6a4,0,15,0
Col6a5,0,0,0
Col6a6,0,0,0
Col7a1,0,0,0
Col8a1,0,7,4
Col8a2,0,0,0
Col9a1,0,0,0
Col9a2,0,0,0
Col9a3,19,0,0
Colec10,0,0,0
Colec11,0,0,0
Colec12,26,17,34
Colq,2,8,3
Commd1,461,0,414
Commd10,715,476,546
Commd2,0,0,187
Commd3,1020,290,1369
Commd4,2771,0,215
Commd5,0,0,0
Commd6,1,3,507
Commd7,75,239,40
Commd8,500,88,1432
Commd9,0,0,278
Comp,0,0,0
Comt,409,825,674
Comtd1,0,0,175
Copa,2690,1,1694
Copb1,79,2,1088
Copb2,1348,237,1275
Cope,946,0,1038
Copg1,1345,411,3202
Copg2,0,0,0
Coprs,1807,944,447
Cops2,50,747,395
Cops3,862,0,839
Cops4,1298,1,465
Cops5,940,106,1918
Cops6,966,1332,1512
Cops7a,2053,11,896
Cops7b,3,0,0
Cops8,1318,275,1614
Copz1,476,2035,1661
Copz2,0,0,0
Coq10a,0,668,25
Coq10b,1002,0,0
Coq2,0,0,406
Coq3,0,1,0
Coq4,0,0,127
Coq5,34,205,552
Coq6,0,0,0
Coq7,260,13,843
Coq9,1775,216,1125
Corin,0,0,0
Coro1a,616,337,795
Coro1b,1011,0,323
Coro1c,7,10,797
Coro2a,0,0,17
Coro2b,603,286,697
Coro6,0,0,0
Coro7,0,0,0
Cort,0,0,0
Cotl1,2,0,0
Cox10,0,1,0
Cox11,0,0,357
Cox14,1355,580,1219
Cox15,1151,379,240
Cox16,514,179,351
Cox17,926,518,552
Cox18,0,0,388
Cox19,564,2,395
Cox20,233,259,426
Cox4i1,4029,5550,4982
Cox4i2,194,0,0
Cox5a,2782,418,2498
Cox5b,2479,2790,3546
Cox6a1,4798,1146,1704
Cox6a2,0,0,0
Cox6b1,4593,3721,2768
Cox6b2,0,0,0
Cox6c,3255,5046,4135
Cox7a1,0,0,0
Cox7a2,1150,1216,2489
Cox7a2l,2251,4893,1831
Cox7b,1266,2824,2650
Cox7b2,0,0,0
Cox7c,966,604,971
Cox8a,4207,2205,3776
Cox8b,0,0,0
Cox8c,0,0,0
Cp,1,3,9
Cpa1,0,0,0
Cpa2,0,0,0
Cpa3,0,0,0
Cpa4,0,0,0
Cpa5,0,0,0
Cpa6,0,3,0
Cpb1,0,0,0
Cpb2,0,0,0
Cpd,0,1,1044
Cpe,5979,7383,4754
Cpeb1,643,619,270
Cpeb2,204,162,70
Cpeb3,0,32,42
Cpeb4,16,0,33
Cped1,0,0,0
Cphx1,0,0,0
Cphx2,0,0,0
Cplx1,662,1635,4555
Cplx2,7353,9828,11221
Cplx3,1,0,0
Cplx4,0,0,0
Cpm,0,0,5
Cpn1,0,0,0
Cpn2,0,0,0
Cpne1,0,144,445
Cpne2,102,0,1
Cpne3,8,739,2
Cpne4,1571,435,575
Cpne5,389,0,25
Cpne6,8465,937,8402
Cpne7,0,3,0
Cpne8,226,100,336
Cpne9,4,6,2
Cpox,102,22,135
Cpped1,1548,0,676
Cpq,0,0,0
Cps1,0,0,0
Cpsf1,0,0,131
Cpsf2,106,572,424
Cpsf3,0,3,1392
Cpsf3l,32,13,464
Cpsf4,539,0,10
Cpsf4l,0,0,0
Cpsf6,599,2230,1104
Cpsf7,348,0,476
Cpt1a,0,329,0
Cpt1b,0,0,0
Cpt1c,696,0,1089
Cpt2,0,0,0
Cpvl,0,0,0
Cpxcr1,0,0,0
Cpxm1,0,0,0
Cpxm2,0,0,0
Cpz,0,0,0
Cr1l,0,0,158
Cr2,0,0,0
Crabp1,0,0,0
Crabp2,0,0,0
Cradd,1,0,0
Cramp1l,119,9,569
Crat,115,0,305
Crb1,0,0,0
Crb2,0,0,0
Crb3,0,0,0
Crbn,428,4,392
Crcp,0,0,567
Crct1,0,0,0
Creb1,7,1844,14
Creb3,20,0,821
Creb3l1,0,0,0
Creb3l2,0,0,0
Creb3l3,0,0,0
Creb3l4,0,0,0
Creb5,0,0,0
Crebbp,743,395,2280
Crebl2,0,0,0
Crebrf,656,5,915
Crebzf,0,0,100
Creg1,0,16,20
Creg2,1391,354,2203
Creld1,0,18,369
Creld2,0,25,358
Crem,396,0,450
Crh,0,0,0
Crhbp,0,0,0
Crhr1,8,0,675
Crhr2,0,0,0
Crim1,28,444,370
Crip1,0,0,0
Crip2,294,5,311
Crip3,0,0,0
Cript,1125,208,870
Crisp1,0,0,0
Crisp2,0,0,0
Crisp3,0,0,0
Crisp4,0,0,0
Crispld1,6,1,2
Crispld2,0,0,0
Crk,12,1022,322
Crkl,0,0,0
Crlf1,228,255,152
Crlf2,0,0,0
Crlf3,0,0,0
Crls1,250,0,333
Crmp1,3492,1840,2129
Crnkl1,43,24,220
Crnn,0,0,0
Crocc,0,0,69
Crot,20,0,22
Crp,4,4,1
Crtac1,12,0,1725
Crtam,0,0,0
Crtap,0,0,0
Crtc1,2292,1,2475
Crtc2,0,0,0
Crtc3,48,9,13
Crx,18,4,18
Crxos1,0,0,0
Cry1,0,0,0
Cry2,2384,9,1145
Cryaa,0,0,0
Cryab,203,783,80
Cryba1,0,0,0
Cryba2,301,0,0
Cryba4,0,0,0
Crybb1,0,0,0
Crybb2,0,0,0
Crybb3,24,0,0
Crybg3,635,0,116
Cryga,0,0,0
Crygb,0,0,0
Crygc,0,0,0
Crygd,0,0,0
Cryge,0,0,0
Crygf,0,0,0
Crygn,0,0,0
Crygs,0,0,0
Cryl1,337,1753,205
Crym,1209,3659,3852
Cryz,0,8,1016
Cryzl1,708,419,799
Cs,4009,1113,2238
Csad,3,0,0
Csda,0,0,56
Csdc2,4434,754,740
Csde1,1603,703,2450
Cse1l,950,313,128
Csf1,0,0,0
Csf1r,458,15,0
Csf2,0,0,0
Csf2ra,0,1,2
Csf2rb,2,0,4
Csf2rb2,79,15,10
Csf3,0,0,0
Csf3r,12,3,16
Csgalnact1,0,1,50
Csgalnact2,0,0,0
Csk,0,0,0
Csl,0,0,0
Csmd1,1,1,93
Csmd3,2611,0,1251
Csn1s1,0,0,0
Csn1s2a,0,0,0
Csn1s2b,5,0,0
Csn2,0,0,0
Csn3,0,0,0
Csnk1a1,617,1649,1513
Csnk1d,401,14,581
Csnk1e,1321,0,117
Csnk1g1,520,1977,460
Csnk1g2,0,0,25
Csnk1g3,12,0,2075
Csnk2a1,1419,1314,2546
Csnk2a2,25,0,0
Csnk2b,855,1371,177
Csnka2ip,0,0,0
Cspg4,0,0,0
Cspg5,78,0,1574
Cspp1,28,4,954
Csprs,0,0,0
Csrnp1,0,0,0
Csrnp2,328,1,0
Csrnp3,1033,458,1447
Csrp1,712,20,0
Csrp2,0,0,0
Csrp2bp,0,0,383
Csrp3,0,0,0
Cst10,0,0,0
Cst11,0,0,0
Cst12,0,0,0
Cst13,0,0,0
Cst3,8181,722,2162
Cst6,2,206,2
Cst7,0,0,0
Cst8,0,0,0
Cst9,0,0,0
Csta,0,0,0
Cstad,0,0,0
Cstb,252,0,699
Cstf1,0,0,978
Cstf2,0,0,0
Cstf2t,766,1949,1383
Cstf3,394,1589,674
Cstl1,0,0,0
Ctag2,0,0,0
Ctage5,36,0,42
Ctbp1,550,1,760
Ctbp2,104,58,368
Ctbs,223,0,0
Ctc1,0,0,399
Ctcf,311,35,361
Ctcfl,12,4,17
Ctdnep1,1,0,279
Ctdp1,0,1,119
Ctdsp1,0,0,0
Ctdsp2,418,854,332
Ctdspl,118,0,699
Ctdspl2,195,0,1360
Ctf1,0,0,0
Ctf2,0,0,0
Ctgf,0,0,0
Cth,0,0,0
Cthrc1,0,172,0
Ctif,420,32,2
Ctla2a,79,44,50
Ctla2b,0,0,0
Ctla4,0,0,0
Ctnna1,1,0,1201
Ctnna2,118,0,33
Ctnna3,0,0,0
Ctnnal1,415,0,0
Ctnnb1,4607,1456,4396
Ctnnbip1,1,1885,0
Ctnnbl1,1160,0,1047
Ctnnd1,0,0,0
Ctnnd2,0,481,697
Ctns,13,0,0
Ctps,0,0,196
Ctps2,521,1858,260
Ctr9,192,642,1405
Ctrb1,0,0,0
Ctrc,0,0,0
Ctrl,0,0,205
Cts3,0,0,0
Cts6,0,0,0
Cts7,0,0,0
Cts8,4,1,7
Cts8-ps,0,0,2
Ctsa,438,1,133
Ctsb,3680,83,5909
Ctsc,0,0,0
Ctsd,1124,9,3163
Ctse,0,0,0
Ctsf,0,538,0
Ctsg,0,0,0
Ctsh,0,0,0
Ctsj,0,0,0
Ctsk,0,0,0
Ctsl,1384,1,855
Ctsll3,0,0,0
Ctsm,0,0,0
Ctso,0,0,0
Ctsq,0,0,0
Ctsr,0,0,0
Ctss,79,14,426
Ctsw,0,0,0
Ctsz,1,0,0
Cttn,4539,565,2342
Cttnbp2,1754,111,3096
Cttnbp2nl,0,0,0
Ctu1,0,0,0
Ctu2,767,0,566
Ctxn1,6083,548,4512
Ctxn2,0,0,0
Ctxn3,0,0,0
Cubn,0,0,0
Cuedc1,0,0,142
Cuedc2,987,1772,1280
Cul1,783,1736,1372
Cul2,0,10,19
Cul3,0,578,150
Cul4a,0,0,139
Cul4b,0,1,112
Cul5,238,1740,907
Cul7,289,0,0
Cul9,1,15,231
Cuta,609,275,218
Cutc,0,0,2
Cux1,0,0,128
Cux2,0,3,6
Cuzd1,0,0,0
Cwc15,0,954,347
Cwc22,0,243,20
Cwc25,0,82,599
Cwc27,1,0,35
Cwf19l1,0,0,177
Cwf19l2,383,13,19
Cwh43,0,0,0
Cx3cl1,1259,1725,10994
Cx3cr1,827,19,23
Cxadr,0,0,99
Cxcl1,0,0,0
Cxcl10,0,0,0
Cxcl11,1,0,0
Cxcl12,1742,0,1621
Cxcl13,0,0,0
Cxcl14,184,0,0
Cxcl16,0,0,0
Cxcl17,0,0,0
Cxcl2,0,0,0
Cxcl3,0,0,0
Cxcl5,0,0,1
Cxcl9,2,8,7
Cxcr1,0,0,0
Cxcr2,368,518,219
Cxcr3,0,0,0
Cxcr4,0,0,0
Cxcr5,0,0,0
Cxcr6,0,0,0
Cxcr7,0,0,569
Cxx1a,19,131,16
Cxx1b,2,160,21
Cxx1c,48,0,487
Cxxc1,0,68,0
Cxxc4,0,0,0
Cxxc5,125,420,554
Cyb5,1,0,52
Cyb561,0,600,1352
Cyb561d1,0,0,215
Cyb561d2,0,0,0
Cyb5b,0,198,3283
Cyb5d1,143,0,0
Cyb5d2,132,7,10
Cyb5r1,3,1,65
Cyb5r2,0,0,0
Cyb5r3,84,308,17
Cyb5r4,0,0,79
Cyb5rl,0,0,0
Cyba,0,468,0
Cybasc3,0,0,0
Cybb,3,0,0
Cybrd1,4,0,28
Cyc1,1752,1506,1167
Cycs,2778,1890,3417
Cyct,0,0,0
Cyfip1,75,73,2814
Cyfip2,6426,3244,4220
Cygb,163,1027,744
Cyhr1,0,2,328
Cylc1,0,0,0
Cylc2,0,0,9
Cyld,238,632,990
Cym,0,0,0
Cyp11a1,29,0,0
Cyp11b1,0,0,0
Cyp11b2,0,0,0
Cyp17a1,0,0,0
Cyp19a1,0,0,0
Cyp1a1,0,0,0
Cyp1a2,0,0,0
Cyp1b1,0,0,0
Cyp20a1,0,0,0
Cyp21a1,0,0,0
Cyp24a1,0,0,0
Cyp26a1,0,0,0
Cyp26b1,0,19,0
Cyp26c1,0,0,0
Cyp27a1,0,0,0
Cyp27b1,0,0,0
Cyp2a12,0,0,0
Cyp2a22,0,0,0
Cyp2a4,0,0,0
Cyp2a5,0,2,0
Cyp2ab1,0,0,0
Cyp2b10,0,0,0
Cyp2b13,0,0,0
Cyp2b19,0,0,0
Cyp2b23,0,0,0
Cyp2b9,0,0,0
Cyp2c29,0,0,0
Cyp2c37,0,0,0
Cyp2c38,0,0,0
Cyp2c39,0,0,0
Cyp2c40,0,0,0
Cyp2c44,0,0,0
Cyp2c50,0,0,0
Cyp2c53-ps,0,0,0
Cyp2c54,0,0,0
Cyp2c55,0,0,0
Cyp2c65,0,0,0
Cyp2c66,0,0,0
Cyp2c67,0,0,0
Cyp2c68,0,0,0
Cyp2c69,0,0,0
Cyp2c70,0,0,0
Cyp2d10,0,0,0
Cyp2d11,0,0,0
Cyp2d12,0,0,0
Cyp2d13,0,0,0
Cyp2d22,0,0,0
Cyp2d26,0,0,0
Cyp2d34,0,0,0
Cyp2d37-ps,0,0,0
Cyp2d40,0,0,0
Cyp2d9,0,0,0
Cyp2e1,6,36,36
Cyp2f2,0,0,0
Cyp2g1,0,0,0
Cyp2j11,0,0,0
Cyp2j12,0,0,0
Cyp2j13,0,0,15
Cyp2j5,0,0,0
Cyp2j6,0,0,0
Cyp2j8,0,0,0
Cyp2j9,2368,0,0
Cyp2r1,0,0,0
Cyp2s1,0,0,0
Cyp2t4,0,0,0
Cyp2u1,0,0,0
Cyp2w1,0,0,0
Cyp39a1,0,0,0
Cyp3a11,0,0,0
Cyp3a13,0,0,0
Cyp3a16,0,0,0
Cyp3a25,0,0,0
Cyp3a41a,0,0,0
Cyp3a41b,0,0,0
Cyp3a44,0,457,0
Cyp3a57,0,0,0
Cyp3a59,0,0,0
Cyp46a1,1307,17,1201
Cyp4a10,0,0,0
Cyp4a12a,0,0,0
Cyp4a12b,0,0,0
Cyp4a14,0,140,0
Cyp4a29-ps,0,0,0
Cyp4a30b-ps,0,0,0
Cyp4a31,5,6,2
Cyp4a32,0,0,0
Cyp4b1,0,0,0
Cyp4f13,0,0,0
Cyp4f14,0,0,0
Cyp4f15,0,0,0
Cyp4f16,0,44,0
Cyp4f17,0,0,0
Cyp4f18,0,0,0
Cyp4f39,0,0,0
Cyp4f40,0,0,0
Cyp4f41-ps,0,0,0
Cyp4v3,0,0,0
Cyp4x1,203,0,5
Cyp51,11,0,0
Cyp7a1,0,0,0
Cyp7b1,16,0,502
Cyp8b1,0,0,0
Cypt1,0,0,0
Cypt10,0,0,0
Cypt12,0,0,0
Cypt14,0,0,0
Cypt15,0,0,0
Cypt2,0,0,0
Cypt3,0,0,0
Cypt4,0,0,0
Cypt7,0,0,0
Cypt8,0,0,0
Cypt9,0,0,0
Cyr61,0,0,0
Cys1,252,0,0
Cysltr1,0,0,0
Cysltr2,0,0,0
Cystm1,424,680,203
Cyth1,24,168,671
Cyth2,1998,0,1427
Cyth3,0,0,56
Cyth4,0,5,0
Cytip,0,2,0
Cytl1,0,0,0
Cyyr1,0,0,0
D030018L15Rik,0,0,0
D030024E09Rik,0,0,0
D030025E07Rik,0,0,0
D030025P21Rik,0,0,0
D030028A08Rik,0,0,2
D030040B21Rik,15,10,33
D030045P18Rik,0,0,0
D030047H15Rik,0,0,0
D030056L22Rik,41,796,21
D10Bwg1379e,19,0,364
D10Jhu81e,6,675,285
D10Wsu102e,101,28,131
D10Wsu52e,2640,0,1145
D11Wsu47e,0,0,3
D130009I18Rik,0,0,0
D130017N08Rik,0,0,0
D130020L05Rik,21,10,19
D130040H23Rik,4,0,0
D130043K22Rik,0,42,826
D130058E03,0,346,0
D14Abb1e,790,41,156
D15Ertd621e,4,2,581
D16Ertd472e,4,1829,5
D16Ertd519e,0,0,0
D17Ertd648e,2,0,0
D17H6S53E,219,20,391
D17Wsu104e,0,1,251
D17Wsu92e,132,0,686
D19Bwg1357e,1,1,0
D19Ertd737e,0,0,453
D1Ertd622e,0,0,630
D1Pas1,0,0,0
D230025D16Rik,0,1,1133
D230030E09Rik,0,0,0
D2Wsu81e,2,6,611
D2hgdh,0,0,92
D330022K07Rik,0,0,48
D330023K18Rik,0,0,17
D330041H03Rik,119,69,146
D330045A20Rik,0,0,0
D330050G23Rik,0,0,0
D330050I16Rik,1,0,3
D3Bwg0562e,4470,4724,10115
D3Ertd254e,12,2,1542
D3Ertd751e,0,0,0
D430019H16Rik,825,12,257
D430020J02Rik,0,0,0
D430036J16Rik,0,0,0
D430041D05Rik,149,12,3671
D430042O09Rik,0,0,0
D4Ertd617e,0,0,0
D4Wsu53e,2733,809,1002
D530049I02Rik,0,0,0
D5Ertd577e,0,0,0
D5Ertd579e,647,1649,1753
D5Ertd605e,2,0,7
D630003M21Rik,0,0,0
D630010B17Rik,0,0,0
D630013N20Rik,0,0,0
D630023F18Rik,1,0,1
D630029K05Rik,0,0,0
D630032N06Rik,0,0,0
D630033O11Rik,0,0,0
D630037F22Rik,0,1,51
D630039A03Rik,0,0,0
D630041G03Rik,0,0,548
D630045J12Rik,759,1,657
D630045M09Rik,6,30,4
D6Ertd474e,0,0,0
D6Ertd527e,0,0,0
D6Wsu163e,1,370,1
D730001G18Rik,0,0,0
D730005E14Rik,0,0,0
D730039F16Rik,0,0,0
D730045A05Rik,0,0,2
D730048I06Rik,0,0,0
D730050B12Rik,0,0,0
D7Ertd143e,0,0,0
D7Ertd443e,0,0,0
D7Ertd715e,131,1,3
D830005E20Rik,14,16,36
D830013O20Rik,0,0,0
D830015G02Rik,0,0,0
D830030K20Rik,483,352,636
D830031N03Rik,0,0,0
D830046C22Rik,0,0,0
D8Ertd738e,444,1,141
D8Ertd82e,0,0,0
D930007P13Rik,0,0,0
D930015E06Rik,0,70,0
D930015M05Rik,0,0,0
D930016D06Rik,0,2,0
D930020B18Rik,0,0,0
D930028M14Rik,0,0,0
D930032P07Rik,0,0,19
D930048N14Rik,0,0,0
DQ267100,0,0,0
DQ267101,0,0,0
DQ267102,0,0,0
DXBay18,0,0,0
Daam1,0,5,15
Daam2,0,0,2
Dab1,2650,13,2299
Dab2,0,261,0
Dab2ip,0,0,0
Dach1,2,0,215
Dach2,0,0,0
Dact1,0,0,0
Dact2,0,0,8
Dact3,0,13,13
Dad1,1192,246,2028
Daf2,0,0,0
Dag1,1432,0,503
Dagla,7,193,549
Daglb,1810,0,610
Dak,2,0,410
Dalrd3,0,0,932
Dancr,254,0,0
Dand5,0,0,300
Dao,0,0,0
Dap,0,0,0
Dap3,474,1244,699
Dapk1,1209,101,1564
Dapk2,0,0,0
Dapk3,0,3,333
Dapl1,0,0,0
Dapp1,1100,0,1
Darc,106,0,316
Dars,22,221,920
Dars2,657,5,41
Daxx,775,28,0
Dazap1,28,1,30
Dazap2,1894,1217,586
Dazl,0,0,0
Dbc1,2308,2,3164
Dbf4,0,0,0
Dbh,0,0,0
Dbi,2245,1188,793
Dbil5,0,0,0
Dbn1,3260,4,2361
Dbndd1,0,0,0
Dbndd2,946,2601,1720
Dbnl,65,0,1259
Dbp,0,281,14
Dbpht2,2840,1449,4036
Dbr1,0,0,0
Dbt,10,6,44
Dbx1,0,0,0
Dbx2,0,0,3
Dcaf10,118,88,372
Dcaf11,1454,0,1002
Dcaf12,586,25,0
Dcaf12l1,153,207,1008
Dcaf12l2,1,0,0
Dcaf13,63,2,180
Dcaf15,295,0,2
Dcaf17,700,13,73
Dcaf4,0,0,507
Dcaf5,9,33,22
Dcaf6,597,328,677
Dcaf7,2428,2124,3728
Dcaf8,3515,4,1539
Dcakd,492,0,1254
Dcbld1,0,0,0
Dcbld2,0,0,197
Dcc,1147,1,640
Dcdc2a,1,743,4
Dcdc2b,60,0,23
Dcdc2c,46,1,87
Dchs1,0,0,0
Dck,0,26,72
Dclk1,3438,7363,3665
Dclk2,1,0,0
Dclk3,0,0,0
Dclre1a,123,591,0
Dclre1b,8,0,1
Dclre1c,230,247,1007
Dcn,0,0,543
Dcp1a,0,0,892
Dcp1b,0,0,348
Dcp2,1,708,204
Dcpp1,0,0,0
Dcpp2,0,0,0
Dcpp3,0,0,0
Dcps,946,1,408
Dcst1,0,0,50
Dcstamp,0,0,0
Dct,0,0,0
Dctd,0,0,0
Dctn1,121,38,2566
Dctn2,1401,1482,2008
Dctn3,1973,275,723
Dctn4,3065,0,2413
Dctn5,189,90,1669
Dctn6,2,660,1314
Dctpp1,165,0,80
Dcun1d1,28,0,1369
Dcun1d2,0,11,272
Dcun1d3,0,0,460
Dcun1d4,1548,129,481
Dcun1d5,24,811,6
Dcx,10,2,10
Dcxr,0,11,0
Dda1,276,2,1177
Ddah1,0,113,23
Ddah2,0,106,0
Ddb1,1451,1285,1199
Ddb2,0,0,0
Ddc,0,0,0
Ddhd1,261,129,0
Ddhd2,641,12,392
Ddi1,0,0,0
Ddi2,0,11,177
Ddit3,93,0,618
Ddit4,135,608,106
Ddit4l,0,6,665
Ddn,2650,1002,3499
Ddo,0,0,0
Ddost,0,18,388
Ddr1,2,1,405
Ddr2,4,7,1
Ddrgk1,776,1014,247
Ddt,0,0,0
Ddx1,2170,1025,1231
Ddx10,0,0,205
Ddx11,6,0,6
Ddx17,849,98,548
Ddx18,0,0,156
Ddx19a,0,0,101
Ddx19b,49,0,855
Ddx20,0,0,408
Ddx21,0,0,0
Ddx23,0,0,53
Ddx24,558,1308,1587
Ddx25,712,0,436
Ddx26b,1,0,1008
Ddx27,307,38,458
Ddx28,619,36,830
Ddx31,0,0,581
Ddx39,0,0,0
Ddx39b,1,373,1325
Ddx3x,1147,553,881
Ddx3y,13,0,816
Ddx4,0,0,0
Ddx41,969,0,1391
Ddx42,222,56,928
Ddx43,0,0,0
Ddx46,235,374,759
Ddx47,2,0,312
Ddx49,0,0,0
Ddx5,10384,1525,9107
Ddx50,227,291,679
Ddx51,0,271,722
Ddx52,1,0,25
Ddx54,0,0,716
Ddx55,780,113,23
Ddx56,0,193,0
Ddx58,0,0,0
Ddx59,0,0,0
Ddx6,270,633,187
Ddx60,0,0,0
Deaf1,0,0,79
Dear1,0,0,0
Deb1,344,1557,791
Decr1,469,0,0
Decr2,439,40,88
Dedd,1,1379,663
Dedd2,0,0,0
Def6,0,0,0
Def8,0,0,60
Defa-ps1,0,0,0
Defa-ps12,0,0,0
Defa-ps13,0,0,0
Defa-rs1,0,0,0
Defa-rs7,0,0,0
Defa17,0,0,0
Defa20,0,0,0
Defa21,0,0,0
Defa22,0,0,0
Defa23,0,0,0
Defa24,0,0,0
Defa25,0,0,0
Defa26,0,0,0
Defa3,0,0,0
Defa4,0,0,0
Defa5,0,0,0
Defa6,0,0,0
Defb1,0,0,0
Defb10,0,0,0
Defb11,0,0,0
Defb12,0,0,0
Defb13,0,0,0
Defb14,0,0,0
Defb15,0,0,0
Defb18,0,0,0
Defb19,0,0,0
Defb2,0,0,0
Defb20,0,0,0
Defb21,0,0,0
Defb22,0,0,0
Defb23,0,0,0
Defb25,0,0,0
Defb26,0,0,0
Defb28,0,0,0
Defb29,0,0,0
Defb3,0,0,0
Defb30,0,0,0
Defb33,0,0,0
Defb34,0,0,0
Defb35,0,0,0
Defb36,0,0,0
Defb37,0,0,0
Defb38,0,0,0
Defb39,0,0,0
Defb4,0,0,0
Defb40,0,0,0
Defb41,0,0,0
Defb42,0,0,0
Defb43,0,0,0
Defb44-ps,0,0,0
Defb45,0,0,0
Defb46,0,0,0
Defb47,0,0,0
Defb48,0,0,0
Defb5,0,0,0
Defb50,0,0,0
Defb6,0,0,0
Defb7,0,0,0
Defb8,0,0,0
Defb9,0,0,0
Degs1,410,0,0
Degs2,0,0,0
Dek,563,376,116
Dennd1a,113,0,844
Dennd1b,0,0,1011
Dennd1c,0,0,0
Dennd2a,69,1810,0
Dennd2c,0,0,0
Dennd2d,0,0,0
Dennd3,43,0,0
Dennd4a,1,38,657
Dennd4b,703,0,0
Dennd4c,0,0,2
Dennd5a,1722,66,556
Dennd5b,194,200,59
Dennd6a,554,24,54
Dennd6b,414,0,440
Denr,1730,648,1480
Depdc1a,0,0,0
Depdc1b,0,0,0
Depdc5,357,3,188
Depdc7,0,0,0
Deptor,0,0,0
Dera,0,0,0
Derl1,0,1453,1956
Derl2,0,0,387
Derl3,0,0,0
Des,0,0,1
Desi1,2074,889,579
Desi2,37,1,126
Det1,0,0,0
Dexi,0,0,160
