,GSM3690875_HC_G15_htseq,GSM3690877_HC_G17_htseq,GSM3690876_HC_G16_htseq
Ccdc88b,0,0,0
Ccdc88c,128,0,0
Ccdc89,0,0,0
Ccdc9,0,0,35
Ccdc90a,0,6,16
Ccdc90b,0,13,0
Ccdc91,4,177,56
Ccdc92,4,773,4
Ccdc93,210,15,0
Ccdc94,304,0,0
Ccdc96,0,0,0
Ccdc97,1,186,0
Ccer1,0,0,0
Cchcr1,2,0,0
Ccin,0,0,0
Cck,12,649,24
Cckar,1,0,0
Cckbr,0,0,0
Ccl1,0,0,0
Ccl11,0,0,0
Ccl12,0,358,0
Ccl17,0,0,0
Ccl19,0,0,0
Ccl2,0,0,0
Ccl20,2,0,0
Ccl21a,0,0,0
Ccl21b,0,0,0
Ccl21c,0,0,0
Ccl22,0,0,0
Ccl24,0,0,0
Ccl25,5,0,0
Ccl26,0,0,0
Ccl27a,8,230,6
Ccl27b,0,0,0
Ccl28,4,3,4
Ccl3,0,0,0
Ccl4,0,0,0
Ccl5,0,0,0
Ccl6,0,0,0
Ccl7,0,0,0
Ccl8,0,0,0
Ccl9,59,33,39
Ccm2,0,25,0
Ccm2l,0,0,0
Ccna1,0,0,0
Ccna2,0,0,3
Ccnb1,2,1,0
Ccnb1ip1,0,0,0
Ccnb2,0,0,47
Ccnb3,0,0,0
Ccnc,8,14,15
Ccnd1,168,80,23
Ccnd2,171,1416,45
Ccnd3,0,1,0
Ccndbp1,2,989,261
Ccne1,0,27,0
Ccne2,67,18,0
Ccnf,477,0,0
Ccng1,92,0,380
Ccng2,42,45,0
Ccnh,62,626,3
Ccni,254,651,379
Ccnj,221,0,0
Ccnjl,0,0,0
Ccnk,135,170,0
Ccnl1,48,17,198
Ccnl2,526,0,0
Ccno,0,0,0
Ccnt1,1,932,0
Ccnt2,327,0,110
Ccny,9,61,3
Ccnyl1,0,0,0
Ccp110,4,0,94
Ccpg1,289,459,0
Ccr1,0,0,0
Ccr10,72,0,0
Ccr1l1,0,0,0
Ccr2,0,0,0
Ccr3,0,0,0
Ccr4,14,9,11
Ccr5,148,0,0
Ccr6,0,0,0
Ccr7,0,0,0
Ccr8,0,0,0
Ccr9,0,0,32
Ccrl1,0,0,0
Ccrl2,0,0,0
Ccrn4l,23,439,0
Ccs,0,0,0
Ccsap,0,42,11
Ccser1,0,1,55
Ccser2,139,2564,17
Cct2,122,1054,325
Cct3,76,3364,3
Cct4,6,1021,349
Cct5,851,2987,148
Cct6a,17,299,7
Cct6b,0,10,0
Cct7,536,362,156
Cct8,213,919,23
Cct8l1,0,0,0
Ccz1,5,27,0
Cd101,0,0,0
Cd109,0,0,0
Cd14,272,0,0
Cd151,385,0,0
Cd160,0,0,0
Cd163,15,11,6
Cd163l1,0,0,0
Cd164,406,2,1
Cd164l2,3,0,0
Cd177,0,0,0
Cd180,0,0,0
Cd19,0,0,0
Cd1d1,0,0,0
Cd1d2,0,0,0
Cd2,0,0,0
Cd200,260,165,0
Cd200r1,0,0,0
Cd200r2,2,2,0
Cd200r3,0,0,0
Cd200r4,0,0,0
Cd207,0,0,0
Cd209a,0,0,0
Cd209b,0,0,0
Cd209c,74,6,1
Cd209d,0,0,0
Cd209e,0,0,0
Cd209f,0,0,0
Cd209g,0,0,0
Cd22,33,15,12
Cd226,0,0,4
Cd244,0,0,0
Cd247,0,0,0
Cd248,0,0,0
Cd24a,0,79,0
Cd27,1,0,0
Cd274,162,139,153
Cd276,13,0,0
Cd28,0,0,0
Cd2ap,68,4,40
Cd2bp2,5,2,109
Cd300a,57,71,53
Cd300c,0,0,0
Cd300e,0,0,0
Cd300lb,0,0,0
Cd300ld,1,0,0
Cd300lf,11,21,44
Cd300lg,265,30,86
Cd300lh,0,0,0
Cd302,1,564,53
Cd320,61,134,1
Cd33,5,6,2
Cd34,21,0,0
Cd36,0,0,0
Cd37,12,0,1
Cd38,10,13,0
Cd3d,58,12,21
Cd3e,0,0,0
Cd3eap,12,57,10
Cd3g,0,0,0
Cd4,0,0,0
Cd40,0,0,0
Cd40lg,0,0,0
Cd44,0,0,0
Cd46,5,0,0
Cd47,370,1531,108
Cd48,0,0,0
Cd5,0,0,0
Cd52,0,221,352
Cd53,29,0,0
Cd55,0,0,0
Cd59a,14,0,0
Cd59b,0,0,0
Cd5l,0,0,0
Cd6,0,0,158
Cd63,348,329,336
Cd68,100,0,0
Cd69,0,0,0
Cd7,0,0,0
Cd70,0,0,0
Cd72,0,0,0
Cd74,0,0,0
Cd79a,0,0,0
Cd79b,0,0,0
Cd80,0,0,0
Cd81,1785,3935,441
Cd82,16,0,0
Cd83,0,0,0
Cd84,183,8,34
Cd86,0,0,0
Cd8a,3,0,0
Cd8b1,1,0,1
Cd9,291,0,0
Cd93,32,27,7
Cd96,0,0,0
Cd97,0,0,0
Cd99l2,247,76,4
Cda,0,0,0
Cdadc1,1,194,0
Cdan1,1,0,0
Cdc123,41,2967,38
Cdc14a,1,0,0
Cdc14b,218,54,35
Cdc16,98,8,4
Cdc20,0,0,0
Cdc23,45,11,0
Cdc25a,0,0,0
Cdc25b,0,4,0
Cdc25c,0,0,0
Cdc26,2,6,0
Cdc27,16,759,12
Cdc34,44,1,56
Cdc37,76,866,369
Cdc37l1,91,27,44
Cdc40,89,400,138
Cdc42,245,1597,182
Cdc42bpa,636,404,242
Cdc42bpb,28,43,7
Cdc42bpg,0,7,4
Cdc42ep1,41,0,0
Cdc42ep2,10,0,450
Cdc42ep3,41,9,302
Cdc42ep4,430,0,0
Cdc42ep5,0,0,0
Cdc42se1,9,0,21
Cdc42se2,95,1572,46
Cdc45,0,0,0
Cdc5l,351,726,701
Cdc6,0,0,0
Cdc7,0,12,0
Cdc73,30,51,116
Cdca2,0,0,0
Cdca3,0,0,0
Cdca4,67,0,0
Cdca5,0,0,0
Cdca7,13,2,0
Cdca7l,0,0,0
Cdca8,50,1,0
Cdcp1,0,0,1
Cdcp2,0,0,0
Cdh1,0,0,0
Cdh10,18,1,0
Cdh11,144,251,82
Cdh12,0,17,28
Cdh13,2,5,13
Cdh15,0,0,0
Cdh16,1,6,0
Cdh17,0,0,0
Cdh18,0,0,0
Cdh19,0,0,0
Cdh2,246,155,94
Cdh20,14,13,3
Cdh22,0,1,23
Cdh23,0,0,0
Cdh24,0,0,0
Cdh26,0,0,0
Cdh3,0,0,0
Cdh4,66,5,7
Cdh5,0,0,6
Cdh6,0,0,0
Cdh7,10,3,0
Cdh8,41,410,0
Cdh9,1,1010,5
Cdhr1,0,1,0
Cdhr2,0,0,0
Cdhr3,0,0,0
Cdhr5,0,0,0
Cdip1,477,4809,210
Cdipt,148,0,1
Cdk1,0,0,0
Cdk10,1,0,1
Cdk11b,262,451,145
Cdk12,153,21,282
Cdk13,44,462,34
Cdk14,390,1479,210
Cdk15,0,0,0
Cdk16,190,0,8
Cdk17,51,701,9
Cdk18,0,0,0
Cdk19,282,34,10
Cdk2,0,121,0
Cdk20,0,0,0
Cdk2ap1,4,13,0
Cdk2ap2,128,116,0
Cdk3-ps,0,0,0
Cdk4,23,0,0
Cdk5,26,21,0
Cdk5r1,276,348,555
Cdk5r2,38,119,1
Cdk5rap1,29,1028,0
Cdk5rap2,2,9,8
Cdk5rap3,320,15,0
Cdk6,2,0,0
Cdk7,367,81,86
Cdk8,37,448,0
Cdk9,216,1005,34
Cdkal1,3,0,0
Cdkl1,0,1276,0
Cdkl2,2,10,57
Cdkl3,0,0,3
Cdkl4,2,0,71
Cdkl5,9,23,17
Cdkn1a,86,23,0
Cdkn1b,114,181,11
Cdkn1c,42,0,0
Cdkn2a,0,0,0
Cdkn2aip,1,102,0
Cdkn2aipnl,74,320,0
Cdkn2b,0,0,0
Cdkn2c,0,0,0
Cdkn2d,0,534,21
Cdkn3,0,0,0
Cdnf,23,7,2
Cdo1,12,145,1
Cdon,5,12,0
Cdpf1,0,0,56
Cdr1,1209,1685,1540
Cdr2,0,0,0
Cdr2l,0,1,16
Cdrt4,0,0,0
Cds1,49,0,1
Cds2,230,475,77
Cdsn,0,0,0
Cdt1,0,0,0
Cdv3,11,1928,4
Cdx1,0,0,0
Cdx2,0,0,0
Cdx4,0,0,0
Cdyl,24,115,2
Cdyl2,14,2,1
Ceacam-ps1,0,0,0
Ceacam1,3,3,1
Ceacam10,0,0,0
Ceacam11,0,0,0
Ceacam12,0,0,0
Ceacam13,0,0,1
Ceacam14,0,0,0
Ceacam15,0,0,0
Ceacam16,0,0,0
Ceacam18,0,1,0
Ceacam19,2,0,3
Ceacam2,8,2,1
Ceacam20,34,12,21
Ceacam3,0,0,0
Ceacam5,0,0,0
Ceacam9,0,0,0
Cebpa,145,0,0
Cebpb,5,46,66
Cebpd,33,250,14
Cebpe,0,0,0
Cebpg,15,251,215
Cebpz,146,226,392
Cecr2,30,3,0
Cecr5,71,1,0
Cecr6,3,204,1
Cel,0,0,0
Cela1,0,0,0
Cela2a,0,0,0
Cela3b,0,0,0
Celf1,646,510,19
Celf2,2651,4649,602
Celf3,28,60,6
Celf4,1154,3213,1261
Celf5,224,539,236
Celf6,12,43,84
Celsr1,0,10,0
Celsr2,124,97,65
Celsr3,244,1,0
Cend1,82,241,278
Cenpa,0,0,0
Cenpb,26,83,248
Cenpc1,82,24,0
Cenpe,0,1,0
Cenpf,86,78,168
Cenph,0,0,0
Cenpi,0,0,0
Cenpj,0,0,0
Cenpk,0,0,0
Cenpl,12,12,5
Cenpm,0,1,0
Cenpn,0,0,0
Cenpo,0,0,0
Cenpp,4,85,0
Cenpq,0,77,95
Cenpt,510,0,0
Cenpv,0,1,0
Cenpw,9,0,0
Cep104,3,1,115
Cep110,227,0,0
Cep112,0,0,0
Cep120,40,7,328
Cep128,1,0,0
Cep135,0,0,6
Cep152,0,0,0
Cep164,9,11,14
Cep170,438,33,6
Cep170b,354,102,20
Cep19,28,264,397
Cep192,0,93,0
Cep250,10,0,0
Cep290,98,224,48
Cep350,105,65,14
Cep44,0,8,0
Cep55,0,0,0
Cep57,5,70,0
Cep57l1,0,111,0
Cep63,19,40,4
Cep68,3,7,2
Cep70,188,0,0
Cep72,0,1,0
Cep76,0,16,0
Cep78,3,0,5
Cep85,16,155,0
Cep85l,4,4,0
Cep89,0,0,0
Cep95,18,0,0
Cep97,17,26,39
Cept1,4,4,0
Cer1,18,9,11
Cercam,14,7,14
Cerk,69,38,46
Cerkl,0,0,0
Cers1,0,0,0
Cers2,0,34,0
Cers3,0,0,0
Cers4,210,308,20
Cers5,0,326,0
Cers6,51,3,2
Ces1a,0,0,0
Ces1b,0,0,0
Ces1c,0,0,0
Ces1d,0,0,0
Ces1e,0,0,0
Ces1f,0,0,0
Ces1g,0,0,0
Ces2a,0,0,0
Ces2b,0,0,0
Ces2c,0,0,0
Ces2d-ps,0,0,0
Ces2e,0,0,0
Ces2f,0,0,0
Ces2g,0,0,0
Ces2h,0,0,7
Ces3a,0,0,0
Ces3b,0,0,0
Ces4a,0,0,0
Ces5a,83,0,0
Cetn1,0,0,0
Cetn2,117,10,7
Cetn3,7,707,48
Cetn4,4,2,13
Cfb,0,0,0
Cfc1,0,0,0
Cfd,0,0,0
Cfdp1,489,773,169
Cfh,210,1,161
Cfhr1,0,0,0
Cfhr2,0,0,0
Cfi,0,0,0
Cfl1,326,4055,678
Cfl2,146,202,1
Cflar,269,247,142
Cfp,0,0,0
Cftr,0,0,0
Cga,0,0,0
Cggbp1,26,1209,11
Cgn,0,0,0
Cgnl1,264,0,0
Cgref1,5,515,0
Cgrrf1,0,0,0
Ch25h,0,0,0
Chac1,30,0,24
Chac2,0,477,0
Chad,0,0,0
Chadl,2,0,0
Chaf1a,0,0,0
Chaf1b,0,0,0
Chat,19,12,15
Chchd1,21,407,16
Chchd10,148,1169,49
Chchd2,811,4189,1110
Chchd3,65,1892,0
Chchd4,107,746,182
Chchd5,0,0,0
Chchd6,274,620,30
Chchd7,154,0,0
Chd1,240,122,19
Chd1l,21,16,0
Chd2,227,449,26
Chd3,512,624,204
Chd4,369,385,249
Chd5,478,131,109
Chd6,134,1041,279
Chd7,60,9,0
Chd8,550,289,4
Chd9,71,4,9
Chdh,0,0,0
Chek1,0,0,1
Chek2,18,26,20
Cherp,7,88,3
Chfr,144,1,0
Chga,43,2,92
Chgb,426,718,323
Chi3l1,0,0,0
Chi3l3,0,0,0
Chi3l4,0,0,0
Chia,0,0,0
Chic1,369,245,101
Chic2,12,0,1
Chid1,25,1865,2
Chit1,0,0,0
Chka,2,21,0
Chkb,5,43,1
Chl1,307,1451,420
Chm,125,204,90
Chml,2,4,0
Chmp1a,4,155,0
Chmp1b,0,108,63
Chmp2a,380,74,23
Chmp2b,25,166,0
Chmp3,18,2640,114
Chmp4b,71,271,1438
Chmp4c,0,0,0
Chmp5,505,214,544
Chmp6,14,1243,0
Chmp7,73,10,0
Chn1,170,5336,105
Chn2,129,45,32
Chodl,0,1,0
Chordc1,445,1300,384
Chp1,20,1528,443
Chp2,0,0,0
Chpf,148,60,0
Chpf2,28,0,0
Chpt1,9,478,122
Chrac1,32,0,0
Chrd,4,0,9
Chrdl1,0,51,0
Chrdl2,1,0,0
Chrm1,23,830,10
Chrm2,0,0,0
Chrm3,2,5,3
Chrm4,3,28,0
Chrm5,0,0,0
Chrna1,47,631,18
Chrna10,0,0,0
Chrna2,254,0,0
Chrna3,0,0,0
Chrna4,61,0,12
Chrna5,0,0,0
Chrna6,0,0,0
Chrna7,0,3,2
Chrna9,0,0,0
Chrnb1,0,0,0
Chrnb2,39,941,0
Chrnb3,80,0,0
Chrnb4,11,3,4
Chrnd,0,1,0
Chrne,0,0,0
Chrng,0,0,0
Chst1,236,1728,340
Chst10,15,84,0
Chst11,103,835,0
Chst12,6,1,0
Chst13,0,0,0
Chst14,0,0,0
Chst15,127,1274,3
Chst2,95,204,30
Chst3,53,21,35
Chst4,0,0,0
Chst5,0,0,0
Chst7,0,0,0
Chst8,4,18,6
Chst9,1,1,0
Chsy1,11,0,14
Chsy3,0,0,0
Chtf18,3,0,0
Chtf8,14,0,1
Chtop,90,1927,56
Chuk,58,3,49
Churc1,410,467,427
Ciao1,0,0,49
Ciapin1,53,411,1
Cib1,6,0,0
Cib2,79,23,7
Cib3,0,0,0
Cib4,0,0,0
Cic,8,5,1
Cidea,0,0,0
Cideb,0,0,0
Cidec,0,0,0
Ciita,1,0,7
Cilp,0,0,0
Cilp2,0,0,3
Cinp,0,38,1006
Cir1,154,391,13
Cirbp,15,434,0
Cirh1a,0,15,0
Cisd1,96,1523,0
Cisd2,83,1,179
Cisd3,40,29,11
Cish,0,0,0
Cit,2,3,55
Cited1,0,28,0
Cited2,92,360,28
Cited4,0,0,0
Ciz1,35,18,0
Ckap2,0,0,0
Ckap2l,0,0,0
Ckap4,137,363,28
Ckap5,14,1476,20
Ckb,1600,4378,1163
Cklf,0,0,0
Ckm,0,0,0
Ckmt1,45,53,35
Ckmt2,41,0,0
Cks1b,0,0,0
Cks2,12,0,0
Clasp1,238,40,306
Clasp2,967,1974,829
Clasrp,13,0,0
Clca1,0,0,0
Clca2,9,0,25
Clca3,0,0,0
Clca4,0,0,0
Clca5,0,158,0
Clca6,0,0,0
Clcc1,17,2,0
Clcf1,0,0,4
Clcn1,4,0,0
Clcn2,1,0,0
Clcn3,305,137,23
Clcn4-2,366,399,156
Clcn5,0,0,0
Clcn6,2,721,0
Clcn7,0,500,11
Clcnka,0,0,0
Clcnkb,0,0,0
Cldn1,0,0,0
Cldn10,0,0,1
Cldn11,203,273,63
Cldn12,0,960,0
Cldn13,0,0,0
Cldn14,0,0,0
Cldn15,0,0,0
Cldn16,0,0,0
Cldn17,0,0,0
Cldn18,0,0,0
Cldn19,0,4,0
Cldn2,0,0,0
Cldn20,0,0,0
Cldn22,1,0,0
Cldn23,0,0,0
Cldn24,0,0,0
Cldn25,396,0,0
Cldn26,0,0,0
Cldn3,0,0,0
Cldn4,0,0,0
Cldn5,126,0,5
Cldn6,0,0,0
Cldn7,0,0,0
Cldn8,0,0,0
Cldn9,0,0,0
Cldnd2,0,0,0
Clec10a,0,0,0
Clec11a,0,0,0
Clec12a,0,0,0
Clec12b,0,0,0
Clec14a,0,0,0
Clec16a,47,0,2
Clec18a,6,0,0
Clec1a,1,0,0
Clec1b,0,0,0
Clec2d,0,0,3
Clec2e,0,0,5
Clec2g,16,0,0
Clec2h,12,6,2
Clec2i,0,0,0
Clec2l,0,28,0
Clec3a,0,0,139
Clec3b,4,0,0
Clec4a1,0,0,0
Clec4a2,28,10,22
Clec4a3,4,0,0
Clec4a4,0,0,2
Clec4b1,0,0,0
Clec4b2,0,0,0
Clec4d,0,0,0
Clec4e,0,0,0
Clec4f,0,0,0
Clec4g,0,0,0
Clec4n,0,0,0
Clec5a,0,1096,0
Clec7a,0,0,501
Clec9a,0,0,0
Clgn,30,15,0
Clhc1,0,0,3
Clic1,137,0,0
Clic3,0,0,0
Clic4,0,189,16
Clic5,5,5,0
Clic6,0,0,0
Clint1,290,413,23
Clip1,149,68,124
Clip2,1,300,0
Clip3,337,2091,820
Clip4,4,65,312
Clk1,69,109,236
Clk2,69,0,350
Clk3,0,6,0
Clk4,0,4,0
Clmn,136,230,30
Clmp,27,0,0
Cln3,1,0,0
Cln5,4,77,0
Cln6,0,0,162
Cln8,44,9,89
Clnk,0,0,0
Clns1a,223,2002,9
Clock,71,49,0
Clp1,0,2,0
Clpb,39,201,0
Clpp,17,1049,2
Clps,0,0,0
Clpsl2,0,0,0
Clptm1,64,361,32
Clptm1l,52,115,1
Clpx,5,12,0
Clrn1,0,0,0
Clrn2,0,0,0
Clrn3,0,0,0
Clspn,0,0,0
Clstn1,6,29,9
Clstn2,22,353,90
Clstn3,69,1205,38
Clta,117,2749,636
Cltb,196,1907,3
Cltc,1224,1486,337
Clu,823,190,90
Cluap1,0,0,0
Cluh,639,148,41
Clvs1,23,0,0
Clvs2,9,82,0
Clybl,1,1,11
Cma1,0,0,0
Cma2,0,0,0
Cmah,86,167,56
Cmas,50,255,75
Cmbl,0,0,0
Cmc1,2,48,6
Cmc2,7,0,0
Cmip,704,2592,1234
Cmklr1,8,2,4
Cml1,7,0,0
Cml2,0,0,0
Cml3,12,0,0
Cml5,0,0,0
Cmpk1,11,1,66
Cmpk2,21,0,0
Cmss1,0,5,0
Cmtm1,0,0,0
Cmtm2a,0,0,0
Cmtm2b,0,0,0
Cmtm3,0,82,0
Cmtm4,58,0,0
Cmtm5,17,66,0
Cmtm6,651,5,0
Cmtm7,55,0,0
Cmtm8,4,1,1
Cmya5,0,0,0
Cnbd2,0,12,0
Cnbp,568,1526,204
Cndp1,0,0,0
Cndp2,243,2084,624
Cnep1r1,9,494,2
Cnfn,0,2,0
Cnga1,0,0,0
Cnga2,1,0,0
Cnga3,18,6,3
Cnga4,0,0,0
Cngb1,6,8,0
Cngb3,9,0,0
Cnih,35,6,115
Cnih2,106,343,625
Cnih3,57,157,54
Cnih4,34,4,57
Cnksr1,0,0,0
Cnksr2,180,310,378
Cnksr3,0,0,0
Cnn1,0,0,0
Cnn2,3,6,3
Cnn3,17,0,1
Cnnm1,473,294,0
Cnnm2,34,68,0
Cnnm3,98,11,13
Cnnm4,0,10,0
Cnot1,46,13,30
Cnot10,47,11,0
Cnot11,7,156,42
Cnot2,32,45,0
Cnot3,12,10,16
Cnot4,458,1065,37
Cnot6,1,10,0
Cnot6l,11,570,32
Cnot7,0,0,0
Cnot8,156,0,51
Cnp,15,515,3
Cnppd1,11,530,0
Cnpy1,0,0,0
Cnpy2,149,1468,12
Cnpy3,236,1,0
Cnpy4,4,22,138
Cnr1,14,23,91
Cnr2,53,42,62
Cnrip1,88,1131,33
Cnst,117,138,0
Cntd1,0,0,0
Cntf,0,0,0
Cntfr,23,10,0
Cntln,3,0,1
Cntn1,513,1056,31
Cntn2,48,1,8
Cntn3,96,12,120
Cntn4,1,0,2
Cntn5,47,0,123
Cntn6,1,1,0
Cntnap1,39,76,504
Cntnap2,84,55,1
Cntnap3,0,0,0
Cntnap4,1,0,11
Cntnap5a,15,0,0
Cntnap5b,0,0,0
Cntnap5c,0,0,0
Cntrob,0,753,0
Coa3,56,372,0
Coa4,29,5,0
Coa5,305,1219,0
Coa6,7,320,0
Coasy,36,1218,1
Cobl,33,18,103
Cobll1,37,0,15
Coch,1,9,5
Cog1,2,0,0
Cog2,0,0,1
Cog3,0,1,0
Cog4,1,60,1
Cog5,0,0,1
Cog6,30,242,2
Cog7,110,238,224
Cog8,48,18,0
Coil,144,2,0
Col10a1,0,0,0
Col11a1,6,4,8
Col11a2,0,0,0
Col12a1,0,0,0
Col13a1,0,0,2
Col14a1,0,0,0
Col15a1,0,0,0
Col16a1,0,0,0
Col17a1,0,0,0
Col18a1,0,0,0
Col19a1,0,0,0
Col1a1,16,24,0
Col1a2,3,3,23
Col20a1,145,0,0
Col22a1,0,0,0
Col23a1,0,0,2
Col24a1,1,2,0
Col25a1,13,43,0
Col26a1,0,0,0
Col27a1,24,0,0
Col28a1,0,0,0
Col2a1,0,0,0
Col3a1,0,0,0
Col4a1,2,55,456
Col4a2,4,0,2
Col4a3,0,0,0
Col4a3bp,501,816,18
Col4a4,2,0,0
Col4a5,13,0,7
Col4a6,0,0,0
Col5a1,1,3,1
Col5a2,385,0,0
Col5a3,0,0,0
Col6a1,0,0,1
Col6a2,0,0,0
Col6a3,0,0,0
Col6a4,0,0,0
Col6a5,0,0,0
Col6a6,0,0,0
Col7a1,0,0,0
Col8a1,9,3,0
Col8a2,0,9,4
Col9a1,0,0,0
Col9a2,0,0,0
Col9a3,0,0,0
Colec10,0,0,0
Colec11,0,0,0
Colec12,106,49,34
Colq,17,7,14
Commd1,0,568,0
Commd10,1,1,0
Commd2,245,36,0
Commd3,9,2006,14
Commd4,15,2,2
Commd5,1,89,333
Commd6,47,176,531
Commd7,157,705,204
Commd8,57,6,16
Commd9,0,0,62
Comp,0,0,0
Comt,245,264,201
Comtd1,0,0,49
Copa,288,21,90
Copb1,113,388,103
Copb2,24,1926,32
Cope,192,646,20
Copg1,420,237,46
Copg2,0,9,58
Coprs,35,0,5
Cops2,565,284,456
Cops3,118,1617,0
Cops4,76,794,54
Cops5,139,1518,0
Cops6,68,1252,66
Cops7a,101,819,32
Cops7b,8,0,42
Cops8,19,302,0
Copz1,11,229,75
Copz2,0,0,4
Coq10a,0,201,1
Coq10b,0,11,8
Coq2,319,305,0
Coq3,0,65,0
Coq4,0,141,26
Coq5,35,0,0
Coq6,0,0,1
Coq7,75,263,19
Coq9,0,1328,24
Corin,0,0,0
Coro1a,10,136,127
Coro1b,2,0,14
Coro1c,42,22,110
Coro2a,2,8,1
Coro2b,371,7,16
Coro6,0,0,0
Coro7,24,53,0
Cort,0,0,0
Cotl1,5,9,0
Cox10,0,166,1
Cox11,3,0,0
Cox14,300,821,0
Cox15,3,0,0
Cox16,52,139,39
Cox17,95,463,67
Cox18,0,0,88
Cox19,3,814,2
Cox20,170,2,0
Cox4i1,1435,4602,2041
Cox4i2,0,0,0
Cox5a,324,501,124
Cox5b,547,2776,1410
Cox6a1,155,3491,295
Cox6a2,5,0,0
Cox6b1,223,2375,126
Cox6b2,0,0,0
Cox6c,668,1694,1788
Cox7a1,0,0,0
Cox7a2,34,1189,596
Cox7a2l,125,1681,526
Cox7b,52,448,491
Cox7b2,0,0,0
Cox7c,255,919,0
Cox8a,747,4549,910
Cox8b,0,0,0
Cox8c,0,0,0
Cp,155,3,149
Cpa1,0,0,0
Cpa2,0,0,0
Cpa3,0,0,0
Cpa4,0,0,0
Cpa5,0,0,152
Cpa6,0,0,0
Cpb1,0,0,0
Cpb2,0,0,0
Cpd,27,297,3
Cpe,3447,6938,912
Cpeb1,298,20,347
Cpeb2,274,117,81
Cpeb3,111,8,28
Cpeb4,60,49,47
Cped1,5,0,0
Cphx1,0,0,0
Cphx2,0,0,0
Cplx1,227,1489,529
Cplx2,1544,7962,633
Cplx3,2,2,16
Cplx4,0,0,0
Cpm,5,0,139
Cpn1,0,0,0
Cpn2,0,0,0
Cpne1,272,89,0
Cpne2,33,0,11
Cpne3,98,27,46
Cpne4,103,152,1
Cpne5,2,51,0
Cpne6,1366,3948,110
Cpne7,153,1,7
Cpne8,187,181,11
Cpne9,8,10,4
Cpox,66,356,28
Cpped1,102,65,4
Cpq,5,4,0
Cps1,1,0,0
Cpsf1,179,763,209
Cpsf2,167,487,13
Cpsf3,67,259,39
Cpsf3l,26,42,9
Cpsf4,80,0,0
Cpsf4l,36,0,21
Cpsf6,171,1674,33
Cpsf7,43,1597,0
Cpt1a,57,0,0
Cpt1b,0,0,0
Cpt1c,323,215,299
Cpt2,0,1,0
Cpvl,0,0,0
Cpxcr1,0,0,0
Cpxm1,0,0,6
Cpxm2,0,0,0
Cpz,0,0,0
Cr1l,19,873,0
Cr2,26,0,0
Crabp1,0,0,0
Crabp2,0,0,17
Cradd,2,0,0
Cramp1l,104,108,32
Crat,1,0,3
Crb1,0,0,0
Crb2,11,0,0
Crb3,0,0,0
Crbn,93,277,8
Crcp,171,16,0
Crct1,0,0,0
Creb1,271,9,40
Creb3,14,407,0
Creb3l1,45,0,0
Creb3l2,0,1,0
Creb3l3,0,0,0
Creb3l4,0,0,0
Creb5,1,1,1
Crebbp,188,97,31
Crebl2,12,0,17
Crebrf,141,412,84
Crebzf,200,678,0
Creg1,15,3014,5
Creg2,205,60,3
Creld1,214,920,272
Creld2,28,0,0
Crem,187,1055,0
Crh,1,97,8
Crhbp,0,0,0
Crhr1,5,5,0
Crhr2,0,0,0
Crim1,111,160,80
Crip1,0,0,0
Crip2,310,31,1
Crip3,0,0,2
Cript,100,1475,136
Crisp1,0,0,0
Crisp2,0,0,0
Crisp3,0,0,0
Crisp4,0,0,0
Crispld1,7,10,5
Crispld2,0,60,11
Crk,289,469,711
Crkl,1,0,0
Crlf1,36,1,0
Crlf2,15,0,0
Crlf3,19,0,23
Crls1,113,15,120
Crmp1,146,1260,6
Crnkl1,0,1028,0
Crnn,0,0,0
Crocc,0,276,1
Crot,2,0,0
Crp,14,32,9
Crtac1,778,619,76
Crtam,0,0,0
Crtap,111,0,0
Crtc1,612,531,67
Crtc2,0,381,0
Crtc3,127,38,154
Crx,47,22,15
Crxos1,0,9,0
Cry1,0,101,0
Cry2,887,20,145
Cryaa,0,0,0
Cryab,2,460,246
Cryba1,0,0,0
Cryba2,0,0,0
Cryba4,0,0,0
Crybb1,0,0,0
Crybb2,0,0,0
Crybb3,0,0,0
Crybg3,10,0,0
Cryga,0,0,0
Crygb,0,0,0
Crygc,0,0,0
Crygd,0,0,0
Cryge,0,0,0
Crygf,0,0,0
Crygn,0,0,3
Crygs,0,0,0
Cryl1,1,78,1
Crym,8,480,12
Cryz,17,15,1
Cryzl1,44,35,0
Cs,550,126,805
Csad,9,0,0
Csda,151,261,14
Csdc2,123,819,12
Csde1,589,890,170
Cse1l,113,696,10
Csf1,0,0,1
Csf1r,687,263,944
Csf2,0,0,0
Csf2ra,2,2,48
Csf2rb,26,2,10
Csf2rb2,77,61,35
Csf3,0,0,0
Csf3r,22,29,22
Csgalnact1,10,2,0
Csgalnact2,0,11,0
Csk,1,0,17
Csl,0,0,0
Csmd1,36,2,4
Csmd3,299,64,0
Csn1s1,0,0,0
Csn1s2a,0,0,0
Csn1s2b,0,0,0
Csn2,0,0,0
Csn3,0,0,0
Csnk1a1,178,2258,33
Csnk1d,118,485,21
Csnk1e,356,35,53
Csnk1g1,20,2,0
Csnk1g2,38,104,2
Csnk1g3,124,305,8
Csnk2a1,184,75,47
Csnk2a2,76,230,0
Csnk2b,4,438,10
Csnka2ip,0,0,0
Cspg4,0,0,0
Cspg5,10,916,16
Cspp1,40,67,9
Csprs,0,0,0
Csrnp1,90,0,0
Csrnp2,1,2,65
Csrnp3,87,455,43
