,GSM3690881_NS_G18_htseq,GSM3690883_NS_G20_htseq,GSM3690882_NS_G19_htseq,GSM3690884_NS_G21_htseq
Ampd3,30,50,43,793
Amph,861,639,401,476
Amt,62,0,0,0
Amtn,0,0,0,0
Amy1,0,0,109,0
Amy2a2,0,0,0,0
Amy2a3,0,0,0,0
Amy2a4,0,0,0,0
Amy2a5,0,0,0,0
Amy2b,0,0,0,0
Amz1,0,477,0,0
Amz2,7,113,2,0
Anapc1,292,59,18,26
Anapc10,5,4,0,0
Anapc11,143,281,73,12
Anapc13,169,6,0,1
Anapc15,297,0,0,0
Anapc16,597,381,126,15
Anapc2,139,808,74,0
Anapc4,131,392,168,79
Anapc5,362,707,71,635
Anapc7,14,65,18,3
Ang,0,0,0,0
Ang2,0,0,0,0
Ang3,0,0,0,0
Ang4,0,0,0,0
Ang5,0,0,0,0
Ang6,0,0,0,0
Angel1,0,0,517,0
Angel2,201,0,278,442
Angpt1,57,0,0,6
Angpt2,25,49,62,1
Angpt4,0,0,0,0
Angptl1,3,0,8,0
Angptl2,33,0,0,0
Angptl3,0,0,30,0
Angptl4,3,0,0,0
Angptl6,0,184,0,0
Angptl7,2,0,0,0
Ank,23,1053,495,115
Ank1,10,0,39,1
Ank2,2248,1962,1840,2587
Ank3,2820,614,1830,1729
Ankar,0,0,1,0
Ankdd1b,0,0,0,0
Ankef1,0,0,0,0
Ankfn1,0,0,0,0
Ankfy1,293,402,386,207
Ankhd1,547,409,273,1
Ankib1,208,4,24,69
Ankk1,0,0,0,0
Ankle1,14,15,14,10
Ankle2,412,12,120,1
Ankmy1,0,0,0,0
Ankmy2,145,35,40,125
Ankra2,68,27,68,72
Ankrd1,0,0,0,0
Ankrd10,144,760,788,104
Ankrd11,711,314,1062,172
Ankrd12,942,113,478,252
Ankrd13a,387,76,158,0
Ankrd13b,0,7,2,18
Ankrd13c,134,0,9,0
Ankrd13d,371,109,248,1
Ankrd16,59,16,0,0
Ankrd17,515,269,157,669
Ankrd2,0,0,0,0
Ankrd22,0,0,0,0
Ankrd23,5,0,0,0
Ankrd24,220,0,61,0
Ankrd26,702,12,40,45
Ankrd27,4,55,112,0
Ankrd28,51,2,4,58
Ankrd29,57,0,0,7
Ankrd32,32,253,1,120
Ankrd33,0,0,0,0
Ankrd33b,1083,58,3,556
Ankrd34a,86,23,52,51
Ankrd34b,5,1,0,4
Ankrd34c,8,0,0,0
Ankrd35,43,0,31,0
Ankrd36,0,0,0,0
Ankrd37,11,0,0,13
Ankrd39,0,0,0,0
Ankrd40,75,161,1023,118
Ankrd42,91,0,0,0
Ankrd44,0,0,0,0
Ankrd45,1,38,0,4
Ankrd46,1691,2,232,13
Ankrd49,273,59,23,0
Ankrd50,0,3,35,268
Ankrd52,0,1,0,0
Ankrd53,0,30,0,0
Ankrd54,0,172,1,151
Ankrd55,0,0,1,0
Ankrd6,106,146,7,449
Ankrd60,0,0,0,0
Ankrd61,0,0,14,0
Ankrd63,0,0,0,0
Ankrd66,0,0,0,0
Ankrd7,0,0,0,0
Ankrd9,5,0,30,203
Anks1,33,198,4,0
Anks1b,1112,234,415,779
Anks3,34,177,215,161
Anks4b,0,0,0,0
Anks6,0,0,0,0
Ankzf1,447,144,0,0
Anln,194,35,0,13
Ano1,0,0,3,0
Ano10,115,0,172,2
Ano2,134,17,0,56
Ano3,709,555,532,552
Ano4,34,0,93,2
Ano5,0,0,0,0
Ano6,9,260,209,28
Ano7,1,0,0,0
Ano8,54,163,0,0
Ano9,0,0,0,0
Anp32a,156,135,335,284
Anp32b,757,420,126,569
Anp32e,115,698,717,736
Anpep,0,0,0,0
Antxr1,12,0,0,0
Antxr2,0,206,0,0
Antxrl,0,0,0,0
Anxa1,0,0,0,0
Anxa10,0,0,0,0
Anxa11,60,59,44,129
Anxa13,0,0,0,0
Anxa2,5,0,0,0
Anxa3,63,0,0,799
Anxa4,0,0,0,0
Anxa5,51,0,42,0
Anxa6,1146,494,679,971
Anxa7,1378,269,2,521
Anxa8,0,0,0,0
Anxa9,0,0,0,0
Aoah,0,0,0,0
Aoc2,57,59,18,6
Aoc3,37,0,2,0
Aox1,0,0,71,0
Aox3,0,0,0,0
Aox3l1,0,0,0,0
Aox4,0,0,0,0
Ap1ar,0,19,0,0
Ap1b1,320,153,241,255
Ap1g1,68,609,215,129
Ap1g2,0,1,0,0
Ap1m1,372,29,11,10
Ap1m2,0,0,0,0
Ap1s1,1409,321,358,662
Ap1s2,3,0,230,1
Ap1s3,27,195,77,217
Ap2a1,670,92,108,246
Ap2a2,832,1671,269,962
Ap2b1,477,12,134,228
Ap2m1,2751,693,632,1147
Ap2s1,740,358,105,1074
Ap3b1,95,106,397,118
Ap3b2,788,562,226,72
Ap3d1,324,570,109,636
Ap3m1,13,93,7,0
Ap3m2,270,272,122,0
Ap3s1,318,400,195,2
Ap3s2,15,1,5,3
Ap4b1,0,0,0,0
Ap4e1,111,31,113,104
Ap4m1,0,0,0,0
Ap4s1,0,12,0,1
Ap5b1,0,0,0,0
Ap5m1,0,2,0,0
Ap5s1,0,5,3,1
Ap5z1,7,12,18,12
Apaf1,0,0,4,0
Apba1,738,0,674,430
Apba2,283,643,408,105
Apba3,461,188,0,0
Apbb1,651,600,330,1219
Apbb1ip,4,5,0,0
Apbb2,597,63,87,1
Apbb3,12,81,95,21
Apc,1123,358,516,270
Apc2,101,142,11,16
Apcdd1,0,0,8,0
Apcs,0,0,0,0
Apeh,0,81,0,0
Apex1,0,0,9,109
Apex2,0,61,17,0
Aph1a,58,26,83,0
Aph1b,45,0,72,0
Aph1c,6,2,13,1
Api5,156,1,28,389
Apip,0,8,1,507
Apitd1,33,0,0,0
Aplf,158,238,42,1
Apln,0,0,1,0
Aplnr,0,0,0,0
Aplp1,1492,1203,1618,1233
Aplp2,2340,1373,1082,1224
Apmap,35,308,74,1
Apoa1,0,0,0,0
Apoa1bp,295,0,112,60
Apoa2,0,0,0,0
Apoa4,0,0,0,0
Apoa5,0,0,0,0
Apob,0,0,0,0
Apobec1,0,2,0,0
Apobec2,0,0,0,0
Apobec3,0,0,0,0
Apobec4,0,0,0,0
Apobr,0,0,0,0
Apoc1,0,0,0,0
Apoc2,0,0,0,0
Apoc3,0,0,0,0
Apoc4,0,0,0,0
Apod,266,17,102,62
Apoe,4007,1779,446,4007
Apof,9,36,1,1
Apoh,0,0,14,0
Apol10a,0,0,0,0
Apol10b,0,0,0,0
Apol11a,0,0,0,0
Apol11b,0,0,0,0
Apol6,26,9,19,8
Apol7a,0,0,0,0
Apol7b,0,0,0,0
Apol7c,0,0,0,0
Apol7d,0,0,0,0
Apol7e,0,0,0,0
Apol8,0,0,0,0
Apol9a,0,0,0,0
Apol9b,0,0,0,0
Apold1,0,0,1,140
Apom,0,0,0,0
Apon,0,0,0,0
Apoo,142,378,26,567
Apoo-ps,0,0,0,0
Apool,0,0,0,0
Apopt1,139,300,79,19
App,4755,842,3071,1346
Appbp2,65,123,155,1527
Appl1,319,769,97,1614
Appl2,709,17,29,0
Aprt,71,6,7,277
Aptx,606,175,31,642
Aqp1,0,0,0,0
Aqp11,13,143,0,259
Aqp12,0,0,0,0
Aqp2,0,0,0,0
Aqp3,4,5,6,2
Aqp4,450,0,129,794
Aqp5,0,0,0,0
Aqp6,0,0,0,0
Aqp7,45,93,75,65
Aqp8,0,0,0,0
Aqp9,0,0,0,0
Aqr,13,0,9,117
Ar,0,0,0,0
Araf,1595,291,54,60
Arap1,0,0,0,0
Arap2,662,134,112,11
Arap3,0,0,0,0
Arc,6397,728,502,1990
Arcn1,588,53,154,1573
Areg,0,0,0,0
Arf1,2074,1201,901,1685
Arf2,567,3,21,897
Arf3,2989,2673,363,640
Arf4,2733,362,55,74
Arf5,92,11,25,5
Arf6,68,148,75,7
Arfgap1,779,926,143,11
Arfgap2,448,12,96,405
Arfgap3,0,237,36,0
Arfgef1,155,327,227,181
Arfgef2,20,5,0,21
Arfip1,24,37,0,129
Arfip2,0,999,17,56
Arfrp1,504,1,157,1333
Arg1,0,0,0,0
Arg2,0,0,0,0
Arglu1,751,189,471,287
Arhgap1,328,800,354,78
Arhgap10,0,0,0,0
Arhgap11a,0,1,0,0
Arhgap12,811,787,11,6
Arhgap15,23,0,17,0
Arhgap17,1,199,0,0
Arhgap18,0,0,0,0
Arhgap19,37,229,5,7
Arhgap20,111,642,172,398
Arhgap21,577,118,47,287
Arhgap22,0,0,0,0
Arhgap23,43,77,107,1
Arhgap24,2,0,0,0
Arhgap25,0,0,0,0
Arhgap26,13,85,41,7
Arhgap27,0,676,0,0
Arhgap28,0,0,0,0
Arhgap29,175,6,44,0
Arhgap30,2,4,7,0
Arhgap31,0,0,0,0
Arhgap32,241,8,82,125
Arhgap33,690,321,1,0
Arhgap36,0,0,0,0
Arhgap39,129,248,29,22
Arhgap4,0,0,0,0
Arhgap40,0,125,0,0
Arhgap42,0,2,1,0
Arhgap44,399,0,2,82
Arhgap5,645,848,798,62
Arhgap6,0,3,4,15
Arhgap8,0,0,0,0
Arhgap9,0,0,0,0
Arhgdia,490,170,321,605
Arhgdib,3,0,0,0
Arhgdig,213,0,6,3
Arhgef1,136,0,9,0
Arhgef10,238,0,4,7
Arhgef10l,67,11,3,0
Arhgef11,0,37,8,0
Arhgef12,291,167,497,51
Arhgef15,5,5,10,5
Arhgef16,0,0,0,0
Arhgef17,119,782,628,400
Arhgef18,65,0,5,0
Arhgef19,0,0,0,0
Arhgef2,47,1145,202,311
Arhgef25,0,1647,157,2
Arhgef26,240,0,0,0
Arhgef28,8,149,21,0
Arhgef3,0,36,588,693
Arhgef33,0,0,0,0
Arhgef37,0,0,0,0
Arhgef38,1,0,0,0
Arhgef39,0,0,0,0
Arhgef4,73,283,692,69
Arhgef40,0,408,0,25
Arhgef5,0,0,0,0
Arhgef6,2,0,0,0
Arhgef7,246,274,14,1
Arhgef9,271,1002,520,125
Arid1a,82,164,430,93
Arid1b,528,596,192,37
Arid2,0,478,19,249
Arid3a,223,2,144,0
Arid3b,0,0,2,0
Arid3c,0,0,0,0
Arid4a,146,223,59,30
Arid4b,1371,357,222,244
Arid5a,0,0,0,0
Arid5b,655,138,3,179
Arih1,591,23,107,7
Arih2,15,78,4,0
Arl1,0,232,2,371
Arl10,0,0,0,0
Arl11,0,0,0,0
Arl13a,0,0,0,0
Arl13b,0,0,0,3
Arl14,0,0,0,0
Arl14ep,306,35,206,0
Arl14epl,0,0,0,0
Arl15,86,154,8,36
Arl16,443,273,132,64
Arl2,470,1,121,151
Arl2bp,107,278,355,14
Arl3,157,325,21,448
Arl4a,125,0,32,499
Arl4c,122,3,19,73
Arl4d,0,0,0,38
Arl5a,87,91,34,164
Arl5b,52,10,66,1
Arl5c,1,0,0,0
Arl6,102,0,343,0
Arl6ip1,2005,1635,688,1427
Arl6ip4,27,0,15,94
Arl6ip5,211,1247,3,9
Arl6ip6,57,0,19,86
Arl8a,185,162,66,255
Arl8b,1377,92,81,1178
Arl9,0,0,0,0
Armc1,39,466,804,224
Armc10,8,2,21,43
Armc12,0,0,0,0
Armc2,435,18,6,2
Armc3,0,16,0,0
Armc4,0,0,0,0
Armc5,0,0,73,3
Armc6,0,0,0,7
Armc7,0,0,0,0
Armc8,138,700,538,35
Armc9,243,19,0,0
Armcx1,11,13,85,5
Armcx2,328,506,174,12
Armcx3,287,195,206,598
Armcx4,102,57,324,202
Armcx5,252,21,69,4
Armcx6,349,0,20,0
Arnt,178,1,100,2
Arnt2,819,0,30,0
Arntl,237,0,3,790
Arntl2,2,0,0,0
Arpc1a,933,83,31,415
Arpc1b,297,0,2,1
Arpc2,1178,797,762,1401
Arpc3,200,0,9,79
Arpc4,21,322,27,197
Arpc5,413,610,140,3
Arpc5l,753,684,136,1352
Arpp19,652,660,108,2014
Arpp21,2985,907,2432,5377
Arr3,0,50,18,0
Arrb1,749,593,219,2
Arrb2,47,94,40,63
Arrdc1,0,95,6,0
Arrdc2,0,0,0,0
Arrdc3,41,2,74,0
Arrdc4,0,4,0,0
Arrdc5,0,0,0,0
Arsa,337,0,0,0
Arsb,491,234,90,3
Arsg,0,0,15,0
Arsi,0,0,0,0
Arsj,0,1,41,35
Arsk,0,0,17,0
Art1,0,0,0,0
Art2a-ps,0,0,0,0
Art2b,0,0,0,0
Art3,0,0,0,0
Art4,0,0,0,0
Art5,0,0,0,0
Artn,10,0,0,0
Arv1,0,0,0,0
Arvcf,9,0,81,0
Arx,5,0,6,6
Arxes1,335,0,38,142
Arxes2,1522,94,326,263
As3mt,0,1,0,555
Asah1,22,452,3,63
Asah2,66,0,17,0
Asap1,70,0,7,13
Asap2,24,60,55,1
Asap3,58,26,27,23
Asb1,1,0,22,3
Asb10,0,0,0,0
Asb11,379,0,0,0
Asb12,0,0,0,0
Asb13,11,799,28,11
Asb14,0,0,0,0
Asb15,0,0,24,0
Asb16,0,0,0,0
Asb17,0,0,0,0
Asb18,0,0,0,0
Asb2,0,138,0,1
Asb3,5,0,38,27
Asb4,0,0,0,0
Asb5,0,0,0,0
Asb6,339,386,18,0
Asb7,2,5,27,65
Asb8,28,90,1,3
Asb9,0,0,0,0
Ascc1,394,0,0,15
Ascc2,0,1,50,25
Ascc3,7,313,24,143
Ascl1,1,394,18,1
Ascl2,0,0,0,0
Ascl3,0,0,7,0
Ascl4,1,0,0,0
Ascl5,0,0,0,0
Asf1a,290,162,17,0
Asf1b,0,0,0,35
Asgr1,0,0,0,0
Asgr2,0,0,0,0
Ash1l,575,202,541,702
Ash2l,16,397,32,401
Asic1,2,19,4,1
Asic2,25,41,77,83
Asic3,150,0,0,0
Asic4,15,0,0,0
Asic5,0,0,0,0
Asl,730,5,0,0
Asmt,0,0,0,0
Asna1,185,17,13,609
Asns,35,113,151,258
Asnsd1,37,0,3,0
Aspa,0,0,12,0
Aspdh,0,0,0,0
Aspg,0,0,0,0
Asph,45,154,320,11
Asphd1,1,3,7,110
Asphd2,373,688,42,0
Aspm,0,0,0,0
Aspn,0,0,0,0
Asprv1,0,0,0,0
Aspscr1,12,0,0,120
Asrgl1,50,1,72,544
Ass1,2,0,0,0
Aste1,0,0,0,0
Astl,0,0,0,0
Astn1,941,124,72,104
Astn2,8,6,1,2
Asun,0,5,0,0
Asxl1,462,30,222,5
Asxl2,594,541,270,62
Asxl3,3,36,5,0
Asz1,0,0,0,0
Atad1,149,1397,26,472
Atad2,213,14,12,17
Atad2b,18,46,8,11
Atad3a,1139,24,280,0
Atad5,33,11,61,0
Atat1,642,2,20,0
Atcay,699,34,148,95
Ate1,980,484,373,406
Atf1,565,0,14,1
Atf2,1321,35,537,389
Atf3,758,1,0,79
Atf4,236,1080,58,2192
Atf5,2,0,123,0
Atf6,396,259,123,1025
Atf6b,62,217,0,202
Atf7,42,9,0,0
Atf7ip,54,43,198,0
Atf7ip2,0,0,0,0
Atg10,306,1,0,1
Atg12,474,49,202,42
Atg13,581,159,103,1
Atg14,0,0,26,0
Atg16l1,53,269,14,6
Atg16l2,0,384,0,0
Atg2a,0,22,0,0
Atg2b,53,769,455,60
Atg3,163,99,129,156
Atg4a,0,0,0,0
Atg4b,8,112,78,434
Atg4c,148,89,8,9
Atg4d,0,0,0,0
Atg5,155,3,42,146
Atg7,7,4,29,0
Atg9a,348,492,115,4
Atg9b,0,0,0,0
Athl1,0,0,0,0
Atic,0,0,37,0
Atl1,403,1570,296,1090
Atl2,27,18,26,5
Atl3,15,76,12,0
Atm,23,100,46,57
Atmin,0,0,12,366
Atn1,116,96,75,44
Atoh1,0,0,0,0
Atoh7,0,0,0,0
Atoh8,0,0,0,0
Atox1,165,22,37,492
Atp10a,0,0,0,0
Atp10b,0,0,0,0
Atp10d,0,0,0,0
Atp11a,22,0,37,1
Atp11b,103,5,3,0
Atp11c,5,0,0,565
Atp12a,0,0,0,0
Atp13a1,929,110,69,0
Atp13a2,216,115,29,4
Atp13a3,453,144,192,34
Atp13a4,2,0,0,2
Atp13a5,0,0,1,0
Atp1a1,1040,462,350,887
Atp1a2,2834,1079,2286,2136
Atp1a3,2679,2531,1395,1957
Atp1a4,0,0,0,0
Atp1b1,3365,2916,2074,659
Atp1b2,670,521,157,86
Atp1b3,92,42,427,198
Atp1b4,0,0,0,0
Atp2a1,0,0,0,0
Atp2a2,655,554,523,517
Atp2a3,3,0,1,2
Atp2b1,5757,4952,2231,2064
Atp2b2,1159,795,433,448
Atp2b3,369,144,163,28
Atp2b4,176,580,524,167
Atp2c1,656,234,214,644
Atp2c2,0,0,0,0
Atp4a,0,0,0,0
Atp4b,0,0,0,0
Atp5a1,4835,188,408,1672
Atp5b,5708,2267,593,2623
Atp5c1,1673,929,556,528
Atp5d,960,649,177,859
Atp5e,553,400,453,962
Atp5f1,617,701,66,662
Atp5g1,2021,1354,393,1299
Atp5g2,173,331,157,673
Atp5g3,2001,495,140,1203
Atp5h,1454,922,201,2136
Atp5j,1959,1543,273,1058
Atp5j2,294,349,127,629
Atp5k,1052,288,148,1075
Atp5l,1129,567,584,2747
Atp5o,1593,296,280,2219
Atp5s,0,1,213,117
Atp5sl,106,0,2,16
Atp6ap1,209,446,95,559
Atp6ap1l,0,0,0,0
Atp6ap2,2177,550,483,350
Atp6v0a1,1427,579,898,247
Atp6v0a2,0,0,0,332
Atp6v0a4,0,0,0,0
Atp6v0b,2788,1538,515,2358
Atp6v0c,0,0,0,0
Atp6v0c-ps2,0,0,0,0
Atp6v0d1,1351,806,403,59
Atp6v0d2,0,0,0,0
Atp6v0e,191,187,0,4
Atp6v0e2,1398,1024,213,773
Atp6v1a,6432,2399,1037,3766
Atp6v1b1,82,4,0,0
Atp6v1b2,2893,1427,822,993
Atp6v1c1,688,1984,318,698
Atp6v1c2,0,0,0,0
Atp6v1d,894,1964,505,628
Atp6v1e1,3329,431,268,173
Atp6v1e2,0,0,0,0
Atp6v1f,614,480,65,243
Atp6v1g1,1108,1246,16,263
Atp6v1g2,1221,1153,159,1339
Atp6v1g3,0,0,0,0
Atp6v1h,754,84,340,747
Atp7a,2,1,132,6
Atp7b,0,0,0,0
Atp8a1,1784,1770,702,72
Atp8a2,0,0,17,0
Atp8b1,177,0,0,0
Atp8b2,52,33,19,0
Atp8b3,0,0,0,0
Atp8b4,0,0,0,7
Atp8b5,0,7,0,0
Atp9a,673,247,505,44
Atp9b,298,20,12,567
Atpaf1,516,0,49,0
Atpaf2,655,3,170,2
Atpbd4,38,18,63,19
Atpif1,1157,489,336,1937
Atr,578,21,0,10
Atraid,43,273,103,14
Atrip,42,183,64,0
Atrn,1116,169,98,435
Atrnl1,103,5,218,1
Atrx,2707,1602,504,203
Atxn1,197,717,452,136
Atxn10,1760,331,292,849
Atxn1l,0,19,39,3
Atxn2,60,366,121,121
Atxn2l,1185,218,734,139
Atxn3,9,38,102,0
Atxn7,80,52,771,4
Atxn7l1,327,0,20,0
Atxn7l2,0,0,26,0
Atxn7l3,180,47,7,179
Atxn7l3b,901,834,395,172
Auh,501,9,44,298
Aup1,410,514,190,99
Aurka,0,0,22,0
Aurkaip1,1133,144,0,238
Aurkb,0,0,0,0
Aurkc,0,0,0,0
Auts2,1061,993,540,361
Aven,0,0,16,2
Avil,0,0,0,0
Avl9,15,15,1,401
Avp,0,0,0,0
Avpi1,188,0,0,0
Avpr1a,0,0,0,0
Avpr1b,0,0,0,0
Avpr2,0,0,0,0
Awat1,0,0,0,0
Awat2,0,0,0,0
Axin1,5,12,185,0
Axin2,60,0,47,30
Axl,25,0,1,7
Aym1,0,0,0,0
Azgp1,0,0,0,0
Azi1,0,0,4,0
Azi2,20,1,380,74
Azin1,123,1042,98,62
B020004C17Rik,14,11,12,8
B020004J07Rik,1,0,0,0
B020014A21Rik,37,64,26,13
B020018J22Rik,0,0,0,0
B020031M17Rik,0,0,0,0
B130006D01Rik,165,0,375,17
B130024G19Rik,0,0,8,0
B130034C11Rik,0,0,0,0
B230118H07Rik,263,0,3,0
B230119M05Rik,0,0,0,0
B230120H23Rik,53,4,6,4
B230206H07Rik,6,0,2,1
B230208H11Rik,20,31,16,12
B230209E15Rik,291,26,369,246
B230209K01Rik,160,0,0,0
B230214G05Rik,0,0,0,0
B230216G23Rik,0,0,62,0
B230216N24Rik,0,0,0,0
B230217C12Rik,0,0,21,4
B230217O12Rik,49,0,18,0
B230219D22Rik,408,162,249,201
B230312C02Rik,0,0,0,0
B230319C09Rik,5,0,0,0
B230323A14Rik,0,0,0,0
B230378P21Rik,9,3,148,0
B2m,208,888,36,149
B330016D10Rik,0,3,0,1
B3galnt1,355,1,4,0
B3galnt2,51,82,0,0
B3galt1,113,0,105,119
B3galt2,269,553,80,221
B3galt4,0,0,0,0
B3galt5,313,89,16,4
B3galt6,0,0,0,0
B3galtl,12,0,65,12
B3gat1,218,315,149,153
B3gat2,390,0,8,0
B3gat3,369,179,92,102
B3gnt1,323,443,141,65
B3gnt2,71,114,3,583
B3gnt3,0,10,0,0
B3gnt4,0,0,0,0
B3gnt5,0,0,0,0
B3gnt6,0,0,0,0
B3gnt7,0,0,0,0
B3gnt8,0,0,0,0
B3gnt9,0,0,0,0
B3gntl1,29,0,0,0
B430010I23Rik,0,0,0,0
B430212C06Rik,0,0,0,0
B430306N03Rik,0,11,11,0
B430319G15Rik,39,0,0,0
B4galnt1,648,43,46,99
B4galnt2,84,67,72,12
B4galnt3,0,0,0,0
B4galnt4,0,0,34,0
B4galt1,188,126,10,1
B4galt2,57,1,6,0
B4galt3,624,17,34,0
B4galt4,97,305,2,27
B4galt5,13,0,43,1
B4galt6,903,522,592,1593
B4galt7,270,0,0,0
B630005N14Rik,447,20,145,248
B630019K06Rik,27,0,172,0
B830017H08Rik,0,0,0,0
B930003M22Rik,0,0,0,0
B930018H19Rik,31,0,0,49
B930025P03Rik,0,0,0,1
B930041F14Rik,19,0,0,112
B930059L03Rik,1,0,0,0
B930092H01Rik,0,0,0,0
B9d1,177,79,24,0
B9d2,391,0,138,0
BB014433,0,0,0,0
BB019430,0,0,0,0
BB031773,0,0,0,0
BB123696,0,0,0,0
BB283400,2,4,2,1
BB287469,0,0,0,0
BB557941,0,0,0,40
BC002163,12,10,18,32
BC003331,345,408,220,23
BC003965,22,21,29,5
BC004004,0,6,16,551
BC005537,54,26,161,92
BC005561,0,535,48,1319
BC005624,257,23,17,29
BC005764,38,34,21,0
BC006965,0,0,2,0
BC016423,84,4,104,2
BC016579,0,0,0,0
BC017158,8,121,0,0
BC017612,37,82,0,0
BC017643,0,0,0,0
BC018242,2177,1486,116,780
BC018473,269,213,543,488
BC018507,55,135,70,391
BC020402,455,0,0,8
BC021614,0,0,0,0
BC021767,0,0,0,0
BC021785,27,33,39,15
BC021891,0,0,0,0
BC022687,0,0,53,0
BC023829,0,0,0,0
BC024139,0,0,0,0
BC024386,23,11,35,3
BC024582,0,0,0,0
BC024978,4,0,0,0
BC025920,0,0,0,0
BC026585,0,0,0,0
BC026590,10,1,7,4
BC027072,0,0,0,0
BC027231,0,0,1,0
BC028528,0,154,0,0
BC029214,48,420,7,55
BC029722,0,0,0,0
BC030307,0,0,0,0
BC030336,411,156,32,6
BC030476,30,56,14,27
BC030500,0,0,0,0
BC030867,0,0,0,0
BC030870,0,0,0,0
BC031181,267,1877,468,1062
BC031361,0,0,3,0
BC033916,75,125,110,60
BC035044,0,0,0,0
BC037032,0,0,0,0
BC037034,0,353,15,0
BC037704,0,2,0,0
BC039771,127,108,192,86
BC039966,0,0,0,0
BC048403,1,5,11,2
BC048502,0,0,0,0
BC048507,0,1,0,0
BC048546,353,101,1,522
BC048562,0,0,0,0
BC048602,0,0,0,0
BC048609,0,0,0,0
BC048644,0,0,0,0
BC048671,0,0,0,0
BC048679,0,0,0,0
BC048943,0,0,0,0
BC049352,0,0,0,0
BC049635,0,0,0,0
BC049715,0,0,0,0
BC049730,0,0,0,0
BC049762,0,0,0,0
BC051019,0,0,0,0
BC051070,0,0,0,0
BC051142,0,0,0,0
BC051226,9,0,0,0
BC051537,0,0,0,0
BC051628,0,0,0,0
BC051665,0,0,0,0
BC052040,2,0,0,45
BC052688,0,0,0,0
BC053393,0,0,0,0
BC053749,14,3,9,2
BC055111,42,0,0,0
BC055324,0,0,0,0
BC055402,0,0,0,0
BC056474,90,19,68,0
BC061194,0,0,0,0
BC061212,0,0,0,0
BC061237,0,0,0,0
BC064078,0,0,0,0
BC065397,0,0,0,0
BC068157,8,576,135,8
BC068281,4,2,2,1
BC080695,0,0,0,0
BC089491,0,0,0,0
BC089597,0,0,0,0
BC090627,0,0,0,0
BC094916,1,1,0,0
BC096441,0,0,0,0
BC100451,0,0,0,0
BC100530,0,0,0,0
BC107364,0,0,0,0
BC117090,0,0,0,0
BC125332,0,0,3,60
BC147527,0,0,0,0
Baalc,1,0,22,0
Baat,0,0,0,0
Baat1,0,0,0,0
Babam1,86,444,12,580
Bace1,530,1709,39,20
Bace2,0,0,0,0
Bach1,119,22,5,0
Bach2,21,42,33,34
Bad,39,1,19,0
Bag1,173,150,3,39
Bag2,0,0,4,0
Bag3,0,0,49,0
Bag4,975,338,185,1271
Bag5,1,0,2,75
Bag6,18,494,9,259
Bahcc1,2,0,1,0
Bahd1,47,140,0,7
Bai1,106,598,174,163
Bai2,567,530,448,223
Bai3,310,60,43,13
Baiap2,1228,705,564,290
Baiap2l1,0,0,9,0
Baiap2l2,0,0,0,0
Baiap3,0,0,0,0
Bak1,16,17,1,0
Bambi,755,0,8,0
Bambi-ps1,13,18,22,10
Banf1,174,6,35,255
Banf2,0,0,0,0
Bank1,0,0,0,0
Banp,4,94,20,42
Bap1,2440,137,550,1092
Bard1,14,13,8,6
Barhl1,0,0,0,0
Barhl2,0,0,4,0
Barx1,0,0,0,0
Barx2,0,0,0,2
Basp1,737,326,983,689
Batf,0,0,0,0
Batf2,0,0,0,0
Batf3,0,0,0,0
Bax,239,682,107,717
Baz1a,0,0,0,0
Baz1b,843,545,299,108
Baz2a,721,49,178,14
Baz2b,36,130,85,168
Bbc3,3,2,0,0
Bbip1,155,140,101,307
Bbox1,0,0,0,0
Bbs1,45,40,61,353
Bbs10,0,0,0,0
Bbs12,34,0,0,0
Bbs2,2,0,8,2
Bbs4,178,93,813,972
Bbs5,132,0,19,0
Bbs7,7,1,0,0
Bbs9,4,0,0,0
Bbx,132,123,138,18
Bc1,1347,1263,1813,3685
Bcam,10,4,3,0
Bcan,230,0,82,13
Bcap29,423,226,32,36
Bcap31,757,189,67,57
Bcar1,236,68,453,325
Bcar3,95,0,0,0
Bcas1,0,0,0,0
Bcas2,1011,405,548,934
Bcas3,306,292,0,14
Bcat1,404,0,62,6
Bcat2,0,0,235,0
Bccip,339,318,69,469
Bcdin3d,0,0,0,0
Bche,0,0,0,2
Bckdha,16,458,179,0
Bckdhb,24,137,302,0
Bckdk,112,678,90,177
Bcl10,1,0,0,0
Bcl11a,64,42,350,10
Bcl11b,177,893,342,308
Bcl2,305,4,12,7
Bcl2a1a,0,0,0,0
Bcl2a1b,0,0,0,0
Bcl2a1c,0,0,0,0
Bcl2a1d,0,0,0,0
Bcl2l1,1057,396,411,24
Bcl2l10,0,0,0,0
Bcl2l11,14,3,11,5
Bcl2l12,0,1,19,0
Bcl2l13,1,0,0,1211
Bcl2l14,0,0,0,0
Bcl2l15,0,4,0,0
Bcl2l2,31,2,6,45
Bcl3,0,0,0,0
Bcl6,181,141,73,1
Bcl6b,0,0,0,0
Bcl7a,3,63,43,8
Bcl7b,361,86,363,43
Bcl7c,0,91,0,0
Bcl9,50,2,26,0
Bcl9l,3,0,121,0
Bclaf1,837,403,225,477
Bcmo1,57,92,118,153
Bco2,0,0,0,0
Bcor,5,2,4,2
Bcorl1,29,33,2,24
Bcr,237,645,100,66
Bcs1l,0,0,21,0
Bdh1,73,0,123,0
Bdh2,0,0,0,0
